gen,evals,gen_feats,explored,type naive Bayes balanced accuracy_min,type naive Bayes balanced accuracy_avg,type naive Bayes balanced accuracy_max,type naive Bayes balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
106,534,790,5844,0.2,0.8741967312781611,0.9555758082988566,0.11855893709739997,0.17407765595569785,0.38527739129364874,1.0,0.13102743585007798
107,551,730,5849,0.2,0.8720792570801517,0.9555758082988566,0.11981202668088307,0.17149858514250885,0.3886287544552605,1.0,0.13138994552418293
108,535,764,5851,0.2,0.871764623952736,0.9555758082988566,0.11958922195664626,0.17407765595569785,0.39064513535222384,1.0,0.12997579664093692
109,542,771,5854,0.2,0.8697109230589788,0.9555758082988566,0.12175425251098101,0.17149858514250885,0.39159889807291554,1.0,0.13207596911693437
110,538,762,5857,0.2,0.8697560016613731,0.9555758082988566,0.12112715970349439,0.17149858514250885,0.39023438625653023,1.0,0.13381348043091032
111,526,778,5858,0.2,0.872681564060802,0.9555758082988566,0.1198559563860713,0.17149858514250885,0.3858735780118804,1.0,0.13410130009541402
112,531,781,5860,0.2,0.8746528925211915,0.9555758082988566,0.11832121477968606,0.17149858514250885,0.38363041158452177,1.0,0.13329609334173767
113,534,765,5862,0.2,0.8749128325018638,0.9555758082988566,0.11844721065839071,0.17149858514250885,0.38330990427707967,1.0,0.1333828386367749
114,541,782,5864,0.2,0.8753313428001582,0.9555758082988566,0.1185854838934076,0.17149858514250885,0.382779829621124,1.0,0.1332868686034612
115,535,793,5866,0.2,0.8751287461600619,0.9555758082988566,0.11851278062304516,0.17149858514250885,0.38481342756940706,1.0,0.13174214055488864
116,544,776,5868,0.2,0.8707159572400246,0.9555758082988566,0.12244921987636292,0.17149858514250885,0.3904485029270145,1.0,0.1325149925817355
117,539,786,5869,0.2,0.8708910058594108,0.9555758082988566,0.12194988736055702,0.17149858514250885,0.38962027265186916,1.0,0.13357686692266482
118,533,763,5870,0.2,0.8715768049014757,0.9555758082988566,0.12222417847520733,0.17149858514250885,0.3875698390946346,1.0,0.13516686441410125
119,525,772,5870,0.2,0.8768450034675762,0.9555758082988566,0.11836573811803508,0.1690308509457033,0.3796452799119762,1.0,0.134622979797994
120,544,789,5872,0.2,0.8752340314819944,0.9555758082988566,0.11878935605800423,0.17149858514250885,0.38293145419319696,1.0,0.13388743713653156
121,536,792,5874,0.2,0.8747870013899701,0.9561950033452963,0.12006419389496509,0.1690308509457033,0.3835160950852133,1.0,0.13432239819728706
122,539,785,5875,0.2,0.876256080857489,0.9561950033452963,0.11836209623773804,0.1690308509457033,0.3837634697942173,1.0,0.1321462059539056
123,547,794,5876,0.2,0.8734621861035134,0.9561950033452963,0.12057285570356731,0.17407765595569785,0.3878047641643191,1.0,0.13244485635550926
124,547,755,5876,0.2,0.8733331970557292,0.9561950033452963,0.11935947442592651,0.17407765595569785,0.38907025860592925,1.0,0.13193530642910917
125,552,792,5878,0.2,0.86922934363934,0.9561950033452963,0.12242529211841274,0.17407765595569785,0.39426697173449393,1.0,0.13306563914904063
126,531,769,5880,0.2,0.8704819017016603,0.9561950033452963,0.12237978966963542,0.17407765595569785,0.39141516110663904,1.0,0.13417065257090072
127,533,793,5881,0.2,0.8705932870767563,0.9561950033452963,0.12238544985546748,0.17407765595569785,0.391055456165608,1.0,0.13492468016251458
128,534,765,5882,0.2,0.8736388364076075,0.9561950033452963,0.11938023045671418,0.17407765595569785,0.3874398428215613,1.0,0.13356031617303699
