gen,evals,gen_feats,explored,survival SKSurv Cox model concordance index_min,survival SKSurv Cox model concordance index_avg,survival SKSurv Cox model concordance index_max,survival SKSurv Cox model concordance index_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
49,500,494,2725,0.5,0.8562958974497519,0.9189417662504695,0.06510313277393102,0.19611613513818404,0.33495254786306555,1.0,0.13245547129460805
50,500,466,2727,0.5,0.8579046117482348,0.9189417662504695,0.06506437744143394,0.19611613513818404,0.33203675451970843,1.0,0.13270076289698665
51,500,504,2732,0.5,0.859390816574242,0.9189417662504695,0.06457509931333583,0.19611613513818404,0.3302670317031071,1.0,0.13184163757576303
52,500,511,2733,0.5,0.860191759037245,0.9214523831986788,0.06488772088524664,0.19611613513818404,0.3290731506632319,1.0,0.13248684604648234
53,500,480,2733,0.5,0.860587212535985,0.9214523831986788,0.06502648431002289,0.19611613513818404,0.3290745348152757,1.0,0.1326113929797357
54,500,492,2735,0.5,0.8612544685172443,0.9214523831986788,0.06528231935576666,0.19245008972987526,0.32852035413751524,1.0,0.13284810834915117
55,500,499,2735,0.5,0.8620717086698277,0.9214523831986788,0.06508257672357262,0.19245008972987526,0.32789383227058316,1.0,0.13253353822622707
56,500,505,2735,0.5,0.8634141798379367,0.9214523831986788,0.0645696391419985,0.19245008972987526,0.32603521977181593,1.0,0.13185520611967147
57,500,512,2735,0.5,0.8643703186784507,0.9214523831986788,0.0643297172945358,0.1889822365046136,0.3249402114128013,1.0,0.1315366141926415
58,500,521,2737,0.5,0.864884334237814,0.9289760954555125,0.06455518273849305,0.19245008972987526,0.32477225404699,1.0,0.13165710581037593
59,500,506,2737,0.5,0.8652513497203471,0.9289760954555125,0.06463147425562908,0.19245008972987526,0.32521892545921444,1.0,0.13133244392999285
60,500,512,2737,0.5,0.8643148758281247,0.9289760954555125,0.06588689827059989,0.1889822365046136,0.32755245830006596,1.0,0.13280468168162932
61,500,506,2740,0.5,0.8661623500845005,0.9289760954555125,0.06509047797398813,0.1889822365046136,0.32466379434987946,1.0,0.13182724821798456
62,500,509,2740,0.5,0.8664604399574134,0.9289760954555125,0.06519756707090257,0.19245008972987526,0.3247166294575278,1.0,0.1317753425574207
63,500,491,2740,0.5,0.8668534053049695,0.9289760954555125,0.06535788679108383,0.19245008972987526,0.32436615559434645,1.0,0.13194496418982377
64,500,529,2741,0.5,0.867410335887726,0.9289760954555125,0.06564707606031961,0.1889822365046136,0.32393553115559703,1.0,0.1322979869429616
65,500,522,2744,0.5,0.8679208240438028,0.9289760954555125,0.06582573023529395,0.1889822365046136,0.3233014549635408,1.0,0.13257158514032752
66,500,523,2744,0.5,0.8693496910811181,0.9289760954555125,0.0655762883860172,0.1889822365046136,0.3208591451581947,1.0,0.13225708557935528
67,500,520,2744,0.5,0.8702307476750956,0.9289760954555125,0.06502698497721633,0.1889822365046136,0.3198916718425555,1.0,0.131345523432485
68,500,519,2744,0.5,0.8704084463668128,0.9289760954555125,0.0659251452867674,0.18569533817705186,0.32000168897286946,1.0,0.1325581600776956
69,500,514,2744,0.5,0.8711860758725565,0.9289760954555125,0.06526001187393424,0.18569533817705186,0.31897835726238283,1.0,0.13153596342073157
70,500,539,2744,0.5,0.8706277523663329,0.9334118793032716,0.06576917502869195,0.18569533817705186,0.32066514437097055,1.0,0.13219454126078217
71,500,525,2744,0.5,0.8719219077824789,0.9334118793032716,0.06529461598600678,0.18569533817705186,0.3185037063845604,1.0,0.1319400877819132
72,500,557,2744,0.5,0.8721701506186514,0.9334118793032716,0.065437327377149,0.18569533817705186,0.3185616971509528,1.0,0.13189084373406315
73,500,524,2744,0.5,0.8725845654049071,0.9334118793032716,0.0655983705472489,0.18569533817705186,0.31809942908525013,1.0,0.13218396691412998
74,500,556,2747,0.5,0.8742544911336901,0.9334118793032716,0.0652772827265232,0.18569533817705186,0.31491669162144525,1.0,0.13193937055169316
75,500,545,2748,0.5,0.8751854547712032,0.9334118793032716,0.0647740743370036,0.18257418583505536,0.31341727717640805,1.0,0.13111365900080166
76,500,530,2749,0.5,0.8756563890396002,0.9334118793032716,0.06499947249032671,0.18257418583505536,0.3127911945124235,1.0,0.13159177889155546
77,500,540,2749,0.5,0.875906600162474,0.9334118793032716,0.06503998774089507,0.18257418583505536,0.31319602287736265,1.0,0.13129305708713665
78,500,549,2749,0.5,0.8761721039240401,0.9334118793032716,0.06511066920053456,0.18257418583505536,0.3130872540716198,1.0,0.13138757802659856
79,500,531,2749,0.5,0.8763240561516112,0.9334118793032716,0.06516236397707706,0.18257418583505536,0.3130710045709813,1.0,0.13141166091993126
80,500,526,2749,0.5,0.8766938979666081,0.9334118793032716,0.06519688415562865,0.18257418583505536,0.3131019591547913,1.0,0.13141045339198298
81,500,506,2749,0.5,0.8754171909877841,0.9334118793032716,0.06660138671452565,0.18257418583505536,0.3159930644463727,1.0,0.13313125769568898
82,500,516,2749,0.5,0.8771259679025158,0.9359795532296437,0.06554289112080114,0.1796053020267749,0.3130561327779392,1.0,0.13178216365823325
83,500,530,2750,0.5,0.8776184423838506,0.9394548702631814,0.06568440975979804,0.1796053020267749,0.31275333774231134,1.0,0.13173295281019134
84,500,544,2750,0.5,0.8785982926480171,0.9394548702631814,0.06520530707487782,0.1796053020267749,0.311010144886149,1.0,0.13116011931130084
85,500,571,2751,0.5,0.8789432139866428,0.9394548702631814,0.06600986528351913,0.1796053020267749,0.31018397900502276,1.0,0.13206499048688344
86,500,566,2751,0.5,0.8788292022315508,0.9394548702631814,0.06622723473121546,0.1796053020267749,0.3114224476210566,1.0,0.13219608010177
87,500,558,2751,0.5,0.8787180584077248,0.9394548702631814,0.06617811248657084,0.1796053020267749,0.3125450870183079,1.0,0.13187285971372395
88,500,543,2751,0.5,0.8800888797250741,0.9394548702631814,0.0660492927507397,0.1796053020267749,0.3099189037662287,1.0,0.13202363019756264
89,500,514,2751,0.5,0.8816936306713469,0.9394548702631814,0.06527192635211088,0.1796053020267749,0.3073963617066383,1.0,0.13081174968716391
90,500,532,2751,0.5,0.8819402132037003,0.9394548702631814,0.06535842828173502,0.1796053020267749,0.3077467600453812,1.0,0.13053547401319116
91,500,542,2751,0.5,0.8819170048408553,0.9394548702631814,0.0655306607241264,0.1796053020267749,0.30835566336121467,1.0,0.13053301415680454
92,500,535,2751,0.5,0.8809033429422206,0.9394548702631814,0.06702757032287483,0.1796053020267749,0.3108367172147826,1.0,0.13196356759555483
93,500,537,2751,0.5,0.881057051394074,0.9394548702631814,0.06612180418257009,0.1796053020267749,0.3115946072338454,1.0,0.1306399267048994
94,500,520,2751,0.5,0.8821183799005565,0.9404626387411174,0.06675559012987238,0.1796053020267749,0.309800356315907,1.0,0.13166711876136844
95,500,525,2751,0.5,0.8809399057154088,0.9404626387411174,0.06715432041170523,0.1796053020267749,0.3133053330193795,1.0,0.1312669912078219
96,500,527,2751,0.5,0.8813712576491823,0.9404626387411174,0.0670840544699974,0.1796053020267749,0.31336316355233634,1.0,0.1312039354432528
97,500,523,2751,0.5,0.8815562963330903,0.9404626387411174,0.06717917892529625,0.1767766952966369,0.3132301408560585,1.0,0.1313278483677698
98,500,513,2751,0.5,0.8818080530501905,0.9407490936314833,0.06733969647176295,0.17149858514250885,0.31321226637629607,1.0,0.13136011817338245
99,500,558,2751,0.5,0.8820937890715588,0.9442949598652927,0.06750393662844324,0.17149858514250885,0.3133511769381292,1.0,0.13129109698756844
100,500,496,2751,0.5,0.8823543160875754,0.9442949598652927,0.06756072445731819,0.17149858514250885,0.3137133606043095,1.0,0.13102502118923715
101,500,484,2751,0.5,0.882852350920873,0.9442949598652927,0.06782717650056634,0.17149858514250885,0.3128587595132197,1.0,0.13157955969767704
102,500,513,2751,0.5,0.8834851118833345,0.9442949598652927,0.06781636914829477,0.17149858514250885,0.3122847911890216,1.0,0.13140682509310575
103,500,553,2751,0.5,0.8833983959093413,0.9442949598652927,0.0680786533598159,0.17149858514250885,0.3131657702349113,1.0,0.13140926729207567
104,500,501,2751,0.5,0.8830372941399084,0.9442949598652927,0.06886928306669644,0.17149858514250885,0.3143832936691501,1.0,0.1323042414186795
105,500,521,2751,0.5,0.8837753633265202,0.9446713558121447,0.06829319719268855,0.17149858514250885,0.31358713641869645,1.0,0.13110557136389156
106,500,511,2751,0.5,0.8839641112458265,0.9446713558121447,0.06835741485170621,0.17149858514250885,0.3138008138260281,1.0,0.13092438030915207
107,500,505,2751,0.5,0.884319609646313,0.9457415597207303,0.06855736276785247,0.17149858514250885,0.3138325292686535,1.0,0.13086997628348504
108,500,508,2751,0.5,0.8848159580387106,0.9485792004074152,0.06869758520344922,0.17149858514250885,0.3137984143310565,1.0,0.13090708799158124
109,500,530,2751,0.5,0.8852141655391239,0.9485792004074152,0.06893949793059463,0.17149858514250885,0.31342062114722175,1.0,0.13116854142933135
110,500,509,2751,0.5,0.8854260212651319,0.9485792004074152,0.06905438304781555,0.17149858514250885,0.31364458533963246,1.0,0.13101897596969353
111,500,537,2751,0.5,0.8856333613814136,0.9485792004074152,0.0691150482532039,0.17149858514250885,0.313665281251574,1.0,0.13103390024194533
112,500,499,2751,0.5,0.8860186844744853,0.9485792004074152,0.06926567618572774,0.17149858514250885,0.31364384380437343,1.0,0.1310420947633881
113,500,488,2751,0.5,0.8863098059222471,0.9485792004074152,0.06936815137183537,0.17149858514250885,0.3135487062553007,1.0,0.13111453188455693
114,500,520,2751,0.5,0.8865576334085785,0.9485792004074152,0.06947183639391684,0.1690308509457033,0.3136858840358068,1.0,0.13103739420577526
115,500,538,2751,0.5,0.8868557031149538,0.9485792004074152,0.069608725751621,0.17149858514250885,0.3138569940200476,1.0,0.13086942104905058
116,500,526,2751,0.5,0.887110202034459,0.9485792004074152,0.06973580568914867,0.17149858514250885,0.31383967850890865,1.0,0.13088481449814243
117,500,511,2751,0.5,0.8849165331608541,0.9486703788270642,0.07118581664525322,0.17407765595569785,0.3184677094184561,1.0,0.13188769330726877
118,500,520,2751,0.5,0.8853360972800027,0.9486703788270642,0.07119539661714976,0.17407765595569785,0.3183016087839693,1.0,0.13199631753953558
119,500,518,2751,0.5,0.8860713542734179,0.9494937199210399,0.07091763122559476,0.17407765595569785,0.31753578839300606,1.0,0.13146519872743448
120,500,506,2751,0.5,0.8856758463377896,0.9494937199210399,0.07124308618763597,0.17407765595569785,0.318707327426943,1.0,0.13180206943808814
121,500,524,2751,0.5,0.8856689642869692,0.9494937199210399,0.07118913502235046,0.17407765595569785,0.3192607690837763,1.0,0.13136155721807227
122,500,520,2751,0.5,0.8861587091345303,0.9522401821880756,0.07136900217259295,0.17407765595569785,0.3186971348373889,1.0,0.13156743123371026
123,500,481,2751,0.5,0.8869321595649643,0.9522401821880756,0.07166097358454988,0.17407765595569785,0.31769861802065114,1.0,0.13197101184801754
124,500,513,2751,0.5,0.8877165619570249,0.9522401821880756,0.07119548003844442,0.17407765595569785,0.31643667489270466,1.0,0.13116790428345115
125,500,502,2751,0.5,0.8880007132104544,0.9522401821880756,0.0714752873189827,0.17407765595569785,0.31627925569686377,1.0,0.1318498874738762
126,500,517,2751,0.5,0.8887731922859873,0.9522401821880756,0.07106115906401782,0.1796053020267749,0.3156910858895256,1.0,0.13067962961039672
127,500,497,2751,0.5,0.8890512323552102,0.9522401821880756,0.07116616646366335,0.1796053020267749,0.31557013150309365,1.0,0.13078035970928487
