gen,evals,gen_feats,explored,type svm balanced accuracy_min,type svm balanced accuracy_avg,type svm balanced accuracy_max,type svm balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
13,352,852,5635,0.2,0.8079818213740894,0.9079525546648126,0.13576446231706818,0.13130643285972254,0.35794179385666286,1.0,0.17241220586949152
14,390,895,5663,0.2,0.8244415051546173,0.907998742457304,0.12370077966019136,0.13130643285972254,0.3402589658879035,1.0,0.15997597730394655
15,366,842,5678,0.2,0.8069640296772248,0.9115147462945992,0.1398376207101631,0.13130643285972254,0.36603043458283585,1.0,0.17340532241989676
16,378,764,5694,0.2,0.8129048046925391,0.9115147462945992,0.13373172360349636,0.13130643285972254,0.36337410893971545,1.0,0.17120458472294547
17,372,812,5711,0.2,0.8015827008863815,0.9115147462945992,0.13759814471287282,0.13130643285972254,0.388415959823372,1.0,0.1749793694789186
18,368,774,5725,0.2,0.8053729563399846,0.9115147462945992,0.14263070395585356,0.13130643285972254,0.38493970053537135,1.0,0.1762493117702615
19,361,762,5736,0.2,0.8019022683842909,0.9115147462945992,0.14611482247339774,0.13608276348795434,0.3948651161444351,1.0,0.17685240518131098
20,360,714,5748,0.2,0.8032032728116341,0.9115147462945992,0.1566557624907509,0.13608276348795434,0.3906598149801498,1.0,0.18537366161589505
21,374,687,5763,0.2,0.821586658185456,0.9134221861075444,0.13439218035325765,0.13608276348795434,0.3725852107696894,1.0,0.16740584883166337
22,373,710,5775,0.2,0.8284959808543664,0.9153812225278983,0.13126289053807283,0.13608276348795434,0.3640100279735545,1.0,0.16325279226683378
23,362,707,5784,0.2,0.824249503106183,0.9153812225278983,0.1321143542156597,0.13608276348795434,0.37461994250501923,1.0,0.16769977140904765
24,361,676,5793,0.2,0.8242306222733476,0.9153812225278983,0.1341744689018398,0.15617376188860607,0.37588721948532655,1.0,0.17062836154830524
25,377,647,5803,0.2,0.8199184149722794,0.9164471533746896,0.13387803466999293,0.15617376188860607,0.39190139824762454,1.0,0.17300555624451938
26,365,642,5812,0.2,0.8364279273310171,0.9189488608972614,0.12892029977628552,0.1543033499620919,0.3658579201637877,1.0,0.17027350539108674
27,375,664,5824,0.2,0.8469743349609481,0.9189488608972614,0.12277660831608986,0.1543033499620919,0.3490301740251092,1.0,0.1678302546928616
28,363,660,5830,0.2,0.8506836438359016,0.9232966869842179,0.11446720628976331,0.1543033499620919,0.3507474728576838,1.0,0.17086253439060542
