"","outcome"
"12120","ccRCC"
"12157","ccRCC"
"12186","ccRCC"
"12246","ccRCC"
"12272","ccRCC"
"12293","ccRCC"
"12314","ccRCC"
"12444","ccRCC"
"12452","ccRCC"
"12464","ccRCC"
"12532","ccRCC"
"12537","ccRCC"
"12564","ccRCC"
"12587","ccRCC"
"12656","ccRCC"
"12658","ccRCC"
"12688","ccRCC"
"12788","ccRCC"
"12837","ccRCC"
"12860","ccRCC"
"12903","ccRCC"
"13004","ccRCC"
"13013","ccRCC"
"13038","ccRCC"
"13126","ccRCC"
"13175","ccRCC"
"13187","ccRCC"
"13286","ccRCC"
"13295","ccRCC"
"13362","ccRCC"
"13380","ccRCC"
"13424","ccRCC"
"13537","ccRCC"
"13541","ccRCC"
"13576","ccRCC"
"13620","ccRCC"
"13679","ccRCC"
"13680","ccRCC"
"13707","ccRCC"
"13787","ccRCC"
"13811","ccRCC"
"13820","ccRCC"
"13823","ccRCC"
"13910","ccRCC"
"13913","ccRCC"
"13923","ccRCC"
"13985","ccRCC"
"14013","ccRCC"
"14061","ccRCC"
"14104","ccRCC"
"14173","ccRCC"
"14182","ccRCC"
"14207","ccRCC"
"14225","ccRCC"
"14241","ccRCC"
"14253","ccRCC"
"14281","ccRCC"
"14403","ccRCC"
"14442","ccRCC"
"14500","ccRCC"
"14515","ccRCC"
"14565","ccRCC"
"14586","ccRCC"
"14590","ccRCC"
"14690","ccRCC"
"14756","ccRCC"
"14761","ccRCC"
"14790","ccRCC"
"14825","ccRCC"
"14829","ccRCC"
"14832","ccRCC"
"14847","ccRCC"
"14853","ccRCC"
"14935","ccRCC"
"14953","ccRCC"
"15007","ccRCC"
"15026","ccRCC"
"15106","ccRCC"
"15189","ccRCC"
"15222","ccRCC"
"15259","ccRCC"
"15388","ccRCC"
"15392","ccRCC"
"15457","ccRCC"
"15497","ccRCC"
"15522","ccRCC"
"15544","ccRCC"
"15571","ccRCC"
"15590","ccRCC"
"15642","ccRCC"
"15692","ccRCC"
"15702","ccRCC"
"15718","ccRCC"
"15730","ccRCC"
"15752","ccRCC"
"15843","ccRCC"
"15871","ccRCC"
"15872","ccRCC"
"15929","ccRCC"
"16025","ccRCC"
"16057","ccRCC"
"16224","ccRCC"
"16248","ccRCC"
"16253","ccRCC"
"16286","ccRCC"
"16368","ccRCC"
"16398","ccRCC"
"16447","ccRCC"
"16467","ccRCC"
"16517","ccRCC"
"16578","ccRCC"
"16580","ccRCC"
"16582","ccRCC"
"16586","ccRCC"
"16596","ccRCC"
"16599","ccRCC"
"16690","ccRCC"
"16692","ccRCC"
"16718","ccRCC"
"16831","ccRCC"
"16865","ccRCC"
"16884","ccRCC"
"16902","ccRCC"
"16917","ccRCC"
"16954","ccRCC"
"16989","ccRCC"
"17005","ccRCC"
"17043","ccRCC"
"17050","ccRCC"
"17072","ccRCC"
"17078","ccRCC"
"17163","ccRCC"
"17173","ccRCC"
"17278","ccRCC"
"17309","ccRCC"
"17355","ccRCC"
"17377","ccRCC"
"17383","ccRCC"
"17455","ccRCC"
"17456","ccRCC"
"17468","ccRCC"
"17469","ccRCC"
"17504","ccRCC"
"17512","ccRCC"
"17521","ccRCC"
"17538","ccRCC"
"17543","ccRCC"
"17551","ccRCC"
"17577","ccRCC"
"17667","ccRCC"
"17682","ccRCC"
"17768","ccRCC"
"17876","ccRCC"
"17895","ccRCC"
"17917","ccRCC"
"17956","ccRCC"
"17984","ccRCC"
"18012","ccRCC"
"18137","ccRCC"
"18194","ccRCC"
"18240","ccRCC"
"18344","ccRCC"
"18366","ccRCC"
"18422","ccRCC"
"18466","ccRCC"
"18496","ccRCC"
"18498","ccRCC"
"18573","ccRCC"
"18583","ccRCC"
"18714","ccRCC"
"18720","ccRCC"
"18733","ccRCC"
"18748","ccRCC"
"18834","ccRCC"
"18837","ccRCC"
"18845","ccRCC"
"18888","ccRCC"
"18890","ccRCC"
"18906","ccRCC"
"18920","ccRCC"
"18946","ccRCC"
"19005","ccRCC"
"19068","ccRCC"
"19108","ccRCC"
"19283","ccRCC"
"19285","ccRCC"
"19330","ccRCC"
"19349","ccRCC"
"19410","ccRCC"
"19489","ccRCC"
"19501","ccRCC"
"19556","ccRCC"
"19724","ccRCC"
"19793","ccRCC"
"19882","ccRCC"
"19889","ccRCC"
"19983","ccRCC"
"20026","ccRCC"
"20027","ccRCC"
"20190","ccRCC"
"20200","ccRCC"
"20305","ccRCC"
"20357","ccRCC"
"20367","ccRCC"
"20414","ccRCC"
"20512","ccRCC"
"20520","ccRCC"
"20559","ccRCC"
"20631","ccRCC"
"20634","ccRCC"
"20635","ccRCC"
"20638","ccRCC"
"20645","ccRCC"
"20698","ccRCC"
"20733","ccRCC"
"20737","ccRCC"
"20780","ccRCC"
"20992","ccRCC"
"21022","ccRCC"
"21040","ccRCC"
"21054","ccRCC"
"21069","ccRCC"
"21090","ccRCC"
"21122","ccRCC"
"21126","ccRCC"
"21168","ccRCC"
"21340","ccRCC"
"21345","ccRCC"
"21372","ccRCC"
"21460","ccRCC"
"21515","ccRCC"
"21534","ccRCC"
"21558","ccRCC"
"21648","ccRCC"
"21688","ccRCC"
"21696","ccRCC"
"21704","ccRCC"
"21732","ccRCC"
"21831","ccRCC"
"21853","ccRCC"
"21862","ccRCC"
"21895","ccRCC"
"21953","ccRCC"
"21994","ccRCC"
"22087","ccRCC"
"22162","ccRCC"
"22187","ccRCC"
"22208","ccRCC"
"22250","ccRCC"
"22285","ccRCC"
"22296","ccRCC"
"22308","ccRCC"
"22324","ccRCC"
"22357","ccRCC"
"22375","ccRCC"
"22472","ccRCC"
"22474","ccRCC"
"22495","ccRCC"
"22578","ccRCC"
"22600","ccRCC"
"22621","ccRCC"
"22729","ccRCC"
"22784","ccRCC"
"22913","ccRCC"
"23002","ccRCC"
"23005","ccRCC"
"23204","ccRCC"
"23208","ccRCC"
"23297","ccRCC"
"23304","ccRCC"
"23328","ccRCC"
"23374","ccRCC"
"23422","ccRCC"
"23432","ccRCC"
"23455","ccRCC"
"23489","ccRCC"
"23553","ccRCC"
"23583","ccRCC"
"23685","ccRCC"
"23731","ccRCC"
"23766","ccRCC"
"23768","ccRCC"
"23820","ccRCC"
"23937","ccRCC"
"23949","ccRCC"
"23983","ccRCC"
"24007","ccRCC"
"24087","ccRCC"
"24221","ccRCC"
"24233","ccRCC"
"24234","ccRCC"
"24238","ccRCC"
"24249","ccRCC"
"24370","ccRCC"
"24389","ccRCC"
"24394","ccRCC"
"24397","ccRCC"
"24460","ccRCC"
"24466","ccRCC"
"24599","ccRCC"
"24605","ccRCC"
"24610","ccRCC"
"24611","ccRCC"
"24702","ccRCC"
"24774","ccRCC"
"24861","ccRCC"
"24954","ccRCC"
"24970","ccRCC"
"24978","ccRCC"
"24984","ccRCC"
"25000","ccRCC"
"25131","ccRCC"
"25189","ccRCC"
"25195","ccRCC"
"25240","ccRCC"
"25260","ccRCC"
"25279","ccRCC"
"25333","ccRCC"
"25390","ccRCC"
"25429","ccRCC"
"25478","ccRCC"
"25482","ccRCC"
"25518","ccRCC"
"25537","ccRCC"
"25542","ccRCC"
"25577","ccRCC"
"25607","ccRCC"
"25617","ccRCC"
"25655","ccRCC"
"25688","ccRCC"
"25698","ccRCC"
"25721","ccRCC"
"25738","ccRCC"
"25749","ccRCC"
"25947","ccRCC"
"26012","ccRCC"
"26045","ccRCC"
"26072","ccRCC"
"26138","ccRCC"
"26156","ccRCC"
"26164","ccRCC"
"26199","ccRCC"
"26273","ccRCC"
"26274","ccRCC"
"26494","ccRCC"
"26528","ccRCC"
"26607","ccRCC"
"26612","ccRCC"
"26649","ccRCC"
"26659","ccRCC"
"26780","ccRCC"
"26824","ccRCC"
"26837","ccRCC"
"26839","ccRCC"
"26861","ccRCC"
"26869","ccRCC"
"26881","ccRCC"
"26948","ccRCC"
"26975","ccRCC"
"27044","ccRCC"
"27090","ccRCC"
"27268","ccRCC"
"27361","ccRCC"
"27366","ccRCC"
"27386","ccRCC"
"27483","ccRCC"
"27503","ccRCC"
"27525","ccRCC"
"27543","ccRCC"
"27585","ccRCC"
"27665","ccRCC"
"27721","ccRCC"
"27724","ccRCC"
"27781","ccRCC"
"27784","ccRCC"
"27845","ccRCC"
"27869","ccRCC"
"27908","ccRCC"
"27932","ccRCC"
"27947","ccRCC"
"27956","ccRCC"
"28064","ccRCC"
"28199","ccRCC"
"28219","ccRCC"
"28233","ccRCC"
"28246","ccRCC"
"28254","ccRCC"
"28417","ccRCC"
"28418","ccRCC"
"28421","ccRCC"
"28449","ccRCC"
"28469","ccRCC"
"28501","ccRCC"
"28544","ccRCC"
"28681","ccRCC"
"28718","ccRCC"
"28721","ccRCC"
"28907","ccRCC"
"28936","ccRCC"
"28938","ccRCC"
"29013","ccRCC"
"29049","ccRCC"
"29091","ccRCC"
"29130","ccRCC"
"29134","ccRCC"
"29213","ccRCC"
"29217","ccRCC"
"29283","ccRCC"
"29336","ccRCC"
"29355","ccRCC"
"29456","ccRCC"
"29487","ccRCC"
"29719","ccRCC"
"29720","ccRCC"
"29726","ccRCC"
"29743","ccRCC"
"29761","ccRCC"
"29768","ccRCC"
"29795","ccRCC"
"29797","ccRCC"
"29831","ccRCC"
"29989","ccRCC"
"30006","ccRCC"
"30016","ccRCC"
"30094","ccRCC"
"30113","ccRCC"
"30171","ccRCC"
"30200","ccRCC"
"30203","ccRCC"
"30369","ccRCC"
"30419","ccRCC"
"30490","ccRCC"
"30557","ccRCC"
"30575","ccRCC"
"30579","ccRCC"
"30704","ccRCC"
"30746","ccRCC"
"30806","ccRCC"
"30870","ccRCC"
"30877","ccRCC"
"30920","ccRCC"
"31037","ccRCC"
"31064","ccRCC"
"31077","ccRCC"
"31234","ccRCC"
"31346","ccRCC"
"31357","ccRCC"
"31400","ccRCC"
"31432","ccRCC"
"31469","ccRCC"
"31484","ccRCC"
"31541","ccRCC"
"31631","ccRCC"
"31658","ccRCC"
"31739","ccRCC"
"31757","ccRCC"
"31774","ccRCC"
"31778","ccRCC"
"31829","ccRCC"
"31862","ccRCC"
"31963","ccRCC"
"32002","ccRCC"
"32012","ccRCC"
"32087","ccRCC"
"32189","ccRCC"
"32211","ccRCC"
"32220","ccRCC"
"32260","ccRCC"
"32279","ccRCC"
"32372","ccRCC"
"32387","ccRCC"
"32417","ccRCC"
"32444","ccRCC"
"32625","ChRCC"
"32681","ChRCC"
"32849","ChRCC"
"33007","ChRCC"
"33056","ChRCC"
"33103","ChRCC"
"33110","ChRCC"
"33137","ChRCC"
"33147","ChRCC"
"33252","ChRCC"
"33268","ChRCC"
"33302","ChRCC"
"33553","ChRCC"
"34208","ChRCC"
"34289","ChRCC"
"34417","ChRCC"
"34611","ChRCC"
"34647","ChRCC"
"34708","ChRCC"
"34804","ChRCC"
"34906","ChRCC"
"35066","ChRCC"
"35073","ChRCC"
"35099","ChRCC"
"35117","ChRCC"
"35162","ChRCC"
"35196","ChRCC"
"35394","ChRCC"
"35464","ChRCC"
"35531","ChRCC"
"35601","ChRCC"
"35745","ChRCC"
"35803","ChRCC"
"35804","ChRCC"
"36078","ChRCC"
"36219","ChRCC"
"36299","ChRCC"
"36352","ChRCC"
"36589","ChRCC"
"36654","ChRCC"
"36845","ChRCC"
"36931","ChRCC"
"37168","ChRCC"
"37267","ChRCC"
"37367","ChRCC"
"37441","ChRCC"
"37463","ChRCC"
"37564","ChRCC"
"37571","ChRCC"
"37751","ChRCC"
"37847","ChRCC"
"38043","ChRCC"
"38390","ChRCC"
"39051","ChRCC"
"39180","ChRCC"
"39543","ChRCC"
"39619","ChRCC"
"39672","ChRCC"
"39703","ChRCC"
"39711","ChRCC"
"40087","ChRCC"
"40103","ChRCC"
"40143","ChRCC"
"40198","ChRCC"
"40247","ChRCC"
"40269","ChRCC"
"40287","ChRCC"
"40403","ChRCC"
"40412","ChRCC"
"40468","ChRCC"
"40578","ChRCC"
"40639","ChRCC"
"40707","ChRCC"
"40763","ChRCC"
"40891","ChRCC"
"41034","ChRCC"
"41131","ChRCC"
"41162","ChRCC"
"41192","ChRCC"
"41215","ChRCC"
"41353","ChRCC"
"41453","ChRCC"
"41465","ChRCC"
"41478","ChRCC"
"41501","ChRCC"
"41632","ChRCC"
"41696","ChRCC"
"41988","ChRCC"
"42131","ChRCC"
"42190","ChRCC"
"42320","ChRCC"
"42466","ChRCC"
"42483","ChRCC"
"42499","ChRCC"
"42503","ChRCC"
"42715","ChRCC"
"42789","ChRCC"
