gen,evals,gen_feats,explored,expression_subtype random forest balanced accuracy_min,expression_subtype random forest balanced accuracy_avg,expression_subtype random forest balanced accuracy_max,expression_subtype random forest balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
40,370,1038,11223,0.14285714285714285,0.7339653370140858,0.8571268814824266,0.12732116602819635,0.012987012987012988,0.0822539775693158,1.0,0.105170290935043
41,366,1025,11373,0.14285714285714285,0.7360214246917455,0.8571268814824266,0.1275815656095513,0.012987012987012988,0.08186658058687371,1.0,0.10531672847188955
42,354,997,11520,0.1414954886383458,0.7335957343554645,0.8571268814824266,0.13227093015347105,0.012987012987012988,0.08453787094699441,1.0,0.10783418411016195
43,358,1009,11665,0.1414954886383458,0.7341232400166475,0.8571268814824266,0.13107280110408928,0.012987012987012988,0.08505781505669735,1.0,0.10763583881894176
44,352,1022,11784,0.14285714285714285,0.7385778623958859,0.8571268814824266,0.12642960432724823,0.012987012987012988,0.0825514610217281,1.0,0.10507323790843222
45,361,1006,11931,0.14285714285714285,0.739783537494843,0.8571268814824266,0.12654824783719865,0.012987012987012988,0.08242626073571162,1.0,0.10508693887038531
46,366,1031,12066,0.14285714285714285,0.7405647904429179,0.8571268814824266,0.1283850438554024,0.012987012987012988,0.08280507769584734,1.0,0.10689716495918201
47,375,1034,12205,0.14285714285714285,0.7385070617784525,0.8571268814824266,0.13012870545487087,0.012987012987012988,0.08507613111421108,1.0,0.10779760490476897
48,358,1026,12342,0.14285714285714285,0.7393192586464311,0.8571268814824266,0.1302624192415004,0.012987012987012988,0.08523735339283155,1.0,0.1077835305120901
49,354,989,12474,0.14285714285714285,0.739919122058883,0.8571268814824266,0.13021258976487965,0.012987012987012988,0.08546695228503307,1.0,0.10766844327073845
50,355,1006,12584,0.14285714285714285,0.7407599194380139,0.8571268814824266,0.13046040439665632,0.012987012987012988,0.08539175245077939,1.0,0.10773148935496155
51,374,994,12693,0.14285714285714285,0.7409301922072877,0.8571268814824266,0.1298340450606976,0.012987012987012988,0.08588993542349536,1.0,0.10753049978764247
52,351,991,12812,0.14285714285714285,0.7412478768886982,0.8571268814824266,0.12955266129110823,0.012987012987012988,0.08641619554881672,1.0,0.10732888746224045
53,358,1020,12936,0.14285714285714285,0.7413177089763644,0.8571268814824266,0.12936066489447998,0.0136986301369863,0.08680566387533917,1.0,0.10712806971322084
54,360,988,13041,0.14285714285714285,0.7428191795090932,0.8571268814824266,0.12972647952292152,0.0136986301369863,0.08657714701855838,1.0,0.10721863004728073
55,364,1003,13151,0.14285714285714285,0.7432989170477607,0.8571268814824266,0.12967233912749593,0.0136986301369863,0.08670888921199071,1.0,0.1071595732791546
56,350,992,13272,0.14285714285714285,0.7434528697895653,0.8571268814824266,0.12940413583110044,0.0136986301369863,0.08693713064553776,1.0,0.10703654412346483
57,350,991,13381,0.14285714285714285,0.7442173203133315,0.8571268814824266,0.12961107588207735,0.0136986301369863,0.08688219933541579,1.0,0.1070805381384132
