
OPTIMIZING FINAL MODEL ON WHOLE DATASET

COMPUTING LOCAL ACTIVE FEATURES
Computing active features for target column 0_PanKidney
Features before filter: 20227
Features after any na, zero variance, and anova filters: 18853
Features active in view: 18853

CREATING INNER FOLDS

RUNNING GENETIC ALGORITHM
Generations completed = 360
Generations completed = 651
Generations completed = 957
   	     	         	        	         PanKidney naive Bayes balanced accuracy         	                     leanness                    
   	     	         	        	---------------------------------------------------------	-------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max     	std         	min      	avg      	max	std      
72 	370  	867      	15868   	0.25    	0.929931	0.955405	0.0655928   	0.0136986	0.0561565	1  	0.0930986
73 	363  	861      	15964   	0.25    	0.930195	0.955405	0.0656471   	0.0136986	0.0557725	1  	0.0932029
74 	375  	876      	16043   	0.25    	0.930537	0.955405	0.0656965   	0.0136986	0.0554035	1  	0.0932436
75 	378  	862      	16106   	0.25    	0.930833	0.955405	0.0657638   	0.0135135	0.0547507	1  	0.0934547
76 	378  	860      	16166   	0.25    	0.930729	0.955405	0.0656683   	0.0135135	0.0554293	1  	0.0932805
77 	386  	884      	16230   	0.25    	0.931347	0.956951	0.0657857   	0.0135135	0.0540308	1  	0.0936103
78 	358  	850      	16295   	0.25    	0.933924	0.956951	0.0619802   	0.0135135	0.0501414	1  	0.0896822
79 	366  	826      	16369   	0.25    	0.932304	0.956951	0.063246    	0.0135135	0.0537255	1  	0.0913942
80 	382  	858      	16435   	0.25    	0.932539	0.956951	0.0632571   	0.0135135	0.0536062	1  	0.0914067
81 	359  	813      	16493   	0.25    	0.929067	0.956951	0.0705297   	0.0135135	0.0584344	1  	0.0949253
82 	365  	833      	16551   	0.25    	0.927902	0.956951	0.0762997   	0.0135135	0.0596047	1  	0.0968702
83 	359  	849      	16610   	0.25    	0.928001	0.957467	0.0761519   	0.0135135	0.0599572	1  	0.0968171
84 	362  	837      	16659   	0.25    	0.928165	0.957467	0.0761881   	0.0133333	0.0598702	1  	0.0968407
85 	378  	853      	16726   	0.25    	0.928256	0.957467	0.0762073   	0.0133333	0.0601178	1  	0.0967866
86 	341  	783      	16768   	0.25    	0.928455	0.957467	0.0762458   	0.0133333	0.0599806	1  	0.096823 
87 	364  	823      	16828   	0.25    	0.928571	0.957467	0.0762575   	0.0133333	0.0602152	1  	0.096756 
88 	372  	857      	16884   	0.25    	0.929086	0.957467	0.0746385   	0.0131579	0.05994  	1  	0.0968453
89 	360  	775      	16923   	0.25    	0.929541	0.957467	0.0739896   	0.0131579	0.0595296	1  	0.0969042
90 	375  	804      	16963   	0.25    	0.932719	0.957467	0.0680511   	0.0133333	0.0555398	1  	0.0933676
91 	359  	830      	17002   	0.25    	0.932718	0.957467	0.0680526   	0.0133333	0.055935 	1  	0.0932797
92 	348  	789      	17038   	0.25    	0.933118	0.957467	0.0660898   	0.0133333	0.0560037	1  	0.0932399
93 	373  	825      	17094   	0.25    	0.936157	0.957467	0.0622501   	0.0133333	0.0514746	1  	0.0894411
94 	368  	829      	17142   	0.25    	0.936284	0.957467	0.062227    	0.0133333	0.0516873	1  	0.0894055
95 	372  	799      	17180   	0.25    	0.936522	0.957467	0.0622709   	0.0133333	0.0519744	1  	0.0893615
96 	358  	824      	17217   	0.25    	0.937909	0.957467	0.0623234   	0.0133333	0.0486133	1  	0.0894145
97 	354  	808      	17261   	0.25    	0.936951	0.957998	0.0624458   	0.0133333	0.0509106	1  	0.0895902
98 	384  	876      	17298   	0.25    	0.937411	0.957998	0.0624723   	0.0133333	0.0501902	1  	0.0896827
99 	372  	812      	17341   	0.25    	0.940106	0.957998	0.058308    	0.0135135	0.0463434	1  	0.0854287
100	367  	828      	17382   	0.25    	0.937177	0.958514	0.0653324   	0.0135135	0.0504998	1  	0.0886544
101	366  	826      	17429   	0.25    	0.936683	0.958514	0.0654341   	0.0135135	0.0510883	1  	0.0895736
102	362  	810      	17457   	0.25    	0.940141	0.958514	0.0582941   	0.0136986	0.0463814	1  	0.085556 
103	359  	797      	17484   	0.25    	0.94016 	0.958514	0.0582901   	0.0136986	0.0466609	1  	0.0855064
104	369  	816      	17522   	0.25    	0.937956	0.958514	0.060264    	0.0136986	0.0503474	1  	0.0873217
105	384  	835      	17547   	0.25    	0.936719	0.958514	0.0675742   	0.0136986	0.0512173	1  	0.0896364
106	383  	839      	17578   	0.25    	0.940317	0.959029	0.058189    	0.0136986	0.0467845	1  	0.0854469
107	352  	758      	17605   	0.25    	0.940378	0.959029	0.0581251   	0.0136986	0.0470213	1  	0.0853978
108	382  	861      	17644   	0.25    	0.940556	0.959029	0.0581071   	0.0136986	0.0468822	1  	0.0853808
109	370  	838      	17674   	0.25    	0.940762	0.959029	0.0580953   	0.0136986	0.0466336	1  	0.0852851
110	366  	812      	17705   	0.25    	0.940938	0.959029	0.0581177   	0.0136986	0.0461438	1  	0.0853791
111	366  	799      	17734   	0.25    	0.941031	0.959029	0.0581156   	0.0136986	0.0462024	1  	0.0853703
112	353  	800      	17758   	0.25    	0.941101	0.959029	0.0581344   	0.0136986	0.046296 	1  	0.0853771
113	357  	796      	17783   	0.25    	0.943783	0.959029	0.0541872   	0.0136986	0.0416887	1  	0.0807101
