
OPTIMIZING ON FOLD NUMBER 0
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5893
Features active in total: 5893
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 30
Generations completed = 65
Generations completed = 100
Generations completed = 133
Generations completed = 167
Generations completed = 200
Generations completed = 233
Generations completed = 267
Generations completed = 301
Generations completed = 334
Generations completed = 369
Generations completed = 404
Generations completed = 438
Generations completed = 470
   	     	         	        	                 root separation                 	                 root leanness                  
   	     	         	        	-------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std      	min     	avg     	max	std     
75 	635  	826      	5640    	0  	0.620611	0.642438	0.0447193	0.208514	0.448976	1  	0.120797
76 	619  	812      	5646    	0  	0.621869	0.642438	0.0436759	0.208514	0.441037	1  	0.123593
77 	641  	810      	5654    	0  	0.622317	0.642438	0.0433399	0.208514	0.439064	1  	0.122731
78 	637  	834      	5662    	0  	0.622053	0.642438	0.0435997	0.208514	0.442389	1  	0.121133
79 	637  	802      	5671    	0  	0.621991	0.642438	0.0435502	0.2     	0.448779	1  	0.117047
80 	646  	817      	5680    	0  	0.620338	0.642438	0.0451172	0.2     	0.45202 	1  	0.120719
81 	618  	816      	5687    	0  	0.62085 	0.642438	0.0446223	0.2     	0.456043	1  	0.114999
82 	622  	828      	5692    	0  	0.620219	0.642438	0.0452412	0.196116	0.455986	1  	0.117839
83 	613  	820      	5701    	0  	0.619733	0.642438	0.0454511	0.196116	0.459171	1  	0.117207
84 	609  	824      	5706    	0  	0.620209	0.642438	0.0450973	0.196116	0.456647	1  	0.117541
85 	610  	830      	5712    	0  	0.620795	0.642438	0.0448003	0.196116	0.454445	1  	0.116082
86 	618  	815      	5717    	0  	0.6204  	0.642438	0.045246 	0.196116	0.456115	1  	0.116146
87 	625  	809      	5723    	0  	0.620867	0.642438	0.0447942	0.196116	0.455001	1  	0.115105
88 	629  	791      	5730    	0  	0.620916	0.642438	0.0447936	0.196116	0.458004	1  	0.11354 
89 	636  	831      	5737    	0  	0.61931 	0.642438	0.0462612	0.267261	0.458108	1  	0.118855
90 	623  	807      	5744    	0  	0.620088	0.642438	0.0451875	0.258199	0.459822	1  	0.11583 
91 	630  	800      	5748    	0  	0.620584	0.642438	0.0447757	0.258199	0.458217	1  	0.116092
92 	621  	809      	5754    	0  	0.621886	0.642438	0.0439615	0.258199	0.451852	1  	0.116564
93 	636  	838      	5756    	0  	0.622249	0.642438	0.0436594	0.242536	0.44712 	1  	0.118566
94 	635  	819      	5764    	0  	0.622691	0.642438	0.0433578	0.242536	0.447853	1  	0.115713
95 	642  	838      	5771    	0  	0.622198	0.642438	0.0436861	0.229416	0.450875	1  	0.116035
96 	655  	841      	5777    	0  	0.622397	0.642438	0.0436934	0.229416	0.446695	1  	0.117934
97 	630  	819      	5782    	0  	0.622788	0.642438	0.0433828	0.229416	0.448569	1  	0.114552
98 	637  	836      	5787    	0  	0.621868	0.642438	0.0443618	0.229416	0.452399	1  	0.115906
99 	624  	852      	5788    	0  	0.621518	0.643683	0.0448366	0.229416	0.450638	1  	0.118979
100	630  	851      	5796    	0  	0.622028	0.643683	0.0442995	0.229416	0.448842	1  	0.118937
101	632  	868      	5805    	0  	0.623101	0.643683	0.0434425	0.223607	0.44083 	1  	0.122217
102	641  	844      	5809    	0  	0.623357	0.643683	0.0431384	0.223607	0.443035	1  	0.118647
103	639  	847      	5813    	0  	0.624515	0.643683	0.0422423	0.218218	0.437633	1  	0.118876
104	648  	860      	5816    	0  	0.624695	0.643683	0.0421162	0.218218	0.437771	1  	0.117925
105	653  	863      	5818    	0  	0.625399	0.643683	0.0415516	0.218218	0.430625	1  	0.121263
106	651  	850      	5822    	0  	0.625961	0.643683	0.0412778	0.2     	0.423666	1  	0.125602
107	650  	836      	5826    	0  	0.626595	0.643683	0.0406878	0.218218	0.426607	1  	0.118513
108	665  	847      	5827    	0  	0.62645 	0.643683	0.0410638	0.218218	0.422122	1  	0.124373
109	664  	838      	5829    	0  	0.625871	0.643683	0.0415106	0.213201	0.42518 	1  	0.123673
110	646  	819      	5832    	0  	0.626491	0.643683	0.041105 	0.213201	0.421018	1  	0.125862
111	649  	829      	5833    	0  	0.626469	0.643683	0.0410945	0.213201	0.424398	1  	0.121197
112	675  	845      	5836    	0  	0.625695	0.643683	0.0418812	0.213201	0.425755	1  	0.123989
113	663  	818      	5839    	0  	0.625582	0.643683	0.0417449	0.213201	0.426308	1  	0.125808
114	645  	830      	5840    	0  	0.626667	0.643683	0.0410895	0.213201	0.416924	1  	0.126621
115	651  	847      	5846    	0  	0.628814	0.64573 	0.039253 	0.208514	0.404759	1  	0.123851
116	670  	855      	5848    	0  	0.628905	0.64573 	0.0392782	0.208514	0.402126	1  	0.123492
117	665  	868      	5853    	0  	0.629846	0.64573 	0.0382922	0.213201	0.400007	1  	0.117701
118	678  	873      	5854    	0  	0.629455	0.64573 	0.0386258	0.213201	0.405681	1  	0.118372
119	667  	875      	5855    	0  	0.628409	0.64573 	0.0404919	0.213201	0.419964	1  	0.114555
120	676  	845      	5857    	0  	0.626831	0.64573 	0.0417513	0.223607	0.428908	1  	0.113967
121	660  	822      	5859    	0  	0.627835	0.64573 	0.0400684	0.223607	0.430698	1  	0.108279
122	663  	849      	5859    	0  	0.626981	0.64573 	0.0413199	0.235702	0.435227	1  	0.108849
123	658  	839      	5859    	0  	0.625711	0.64573 	0.0435557	0.235702	0.435147	1  	0.115754
124	645  	813      	5862    	0  	0.626722	0.64573 	0.0414761	0.229416	0.429286	1  	0.117924
125	644  	841      	5863    	0  	0.627635	0.64573 	0.0406838	0.229416	0.4241  	1  	0.117548
126	660  	807      	5865    	0  	0.625455	0.64573 	0.0437773	0.235702	0.435291	1  	0.114966
127	647  	796      	5867    	0  	0.62598 	0.64573 	0.0420494	0.242536	0.440426	1  	0.110576
128	649  	789      	5868    	0  	0.624029	0.64573 	0.0439607	0.235702	0.449156	1  	0.110336
129	636  	790      	5869    	0  	0.624133	0.64573 	0.0434955	0.229416	0.450533	1  	0.110603
130	636  	830      	5869    	0  	0.623066	0.64573 	0.0448373	0.223607	0.450441	1  	0.115943
131	630  	801      	5870    	0  	0.623185	0.64573 	0.0447043	0.218218	0.448116	1  	0.11816 
132	605  	790      	5870    	0  	0.623421	0.64573 	0.0446803	0.25    	0.451177	1  	0.11426 
133	624  	760      	5871    	0  	0.623314	0.64573 	0.0446288	0.235702	0.455081	1  	0.111363
134	624  	782      	5873    	0  	0.621952	0.64573 	0.0461852	0.242536	0.457777	1  	0.114039
135	622  	759      	5874    	0  	0.621856	0.64573 	0.0456563	0.242536	0.458545	1  	0.11514 
136	599  	773      	5875    	0  	0.622062	0.64573 	0.0454217	0.235702	0.457017	1  	0.116849
137	615  	800      	5876    	0  	0.621878	0.64573 	0.0455787	0.235702	0.45531 	1  	0.119768
138	602  	810      	5877    	0  	0.623303	0.64573 	0.0445847	0.235702	0.447748	1  	0.120876
139	616  	769      	5877    	0  	0.622955	0.64573 	0.0449037	0.235702	0.44879 	1  	0.121869
140	608  	789      	5877    	0  	0.623562	0.64573 	0.0446479	0.223607	0.441923	1  	0.125746
141	604  	795      	5878    	0  	0.624889	0.64573 	0.0437332	0.229416	0.434902	1  	0.12701 
142	631  	795      	5878    	0  	0.625299	0.64573 	0.0434126	0.213201	0.43392 	1  	0.124501
143	615  	812      	5880    	0  	0.625823	0.64573 	0.0431083	0.213201	0.429153	1  	0.126724
144	629  	819      	5881    	0  	0.626583	0.645924	0.042472 	0.213201	0.426674	1  	0.124053
145	631  	787      	5881    	0  	0.626942	0.645924	0.0421107	0.213201	0.427354	1  	0.121939
146	634  	814      	5881    	0  	0.627021	0.645924	0.0419548	0.213201	0.427325	1  	0.120988
147	635  	808      	5883    	0  	0.625967	0.645924	0.0434673	0.213201	0.432477	1  	0.121715
148	615  	813      	5884    	0  	0.627107	0.645924	0.0419796	0.213201	0.426457	1  	0.122491
149	629  	823      	5884    	0  	0.627823	0.645924	0.0413612	0.213201	0.425148	1  	0.120863
150	637  	826      	5884    	0  	0.628633	0.645924	0.040768 	0.213201	0.42135 	1  	0.118994
151	652  	796      	5884    	0  	0.627702	0.645924	0.0419576	0.213201	0.424569	1  	0.120567
152	643  	829      	5884    	0  	0.627815	0.645924	0.0416777	0.213201	0.417441	1  	0.126654
153	658  	818      	5885    	0  	0.627603	0.645924	0.0418458	0.218218	0.41765 	1  	0.12796 
154	642  	833      	5885    	0  	0.628501	0.646207	0.0411328	0.213201	0.409307	1  	0.130032
155	637  	859      	5886    	0  	0.628816	0.646207	0.0408098	0.204124	0.412462	1  	0.127516
156	654  	855      	5886    	0  	0.628437	0.646207	0.041046 	0.204124	0.419362	1  	0.123812
