gen,evals,gen_feats,explored,type naive Bayes balanced accuracy_min,type naive Bayes balanced accuracy_avg,type naive Bayes balanced accuracy_max,type naive Bayes balanced accuracy_std,root separation_min,root separation_avg,root separation_max,root separation_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
17,719,777,3251,0.2,0.7895568164523084,0.9394671948137079,0.13012312892525127,0.0,0.5927680594200401,0.6439707850796285,0.042225910177760284,0.1414213562373095,0.39853910917417396,1.0,0.15285799394531424
18,707,766,3362,0.2,0.8072125176512335,0.9394671948137079,0.11259530905008713,0.0,0.5976115688009256,0.6430004188264329,0.041021180787166774,0.14285714285714285,0.3844478537704403,1.0,0.14074434669964095
19,727,749,3457,0.2,0.8052411461509066,0.9394671948137079,0.12270243448262663,0.0,0.5958359461715284,0.6443148055677212,0.04209044038996182,0.1414213562373095,0.3846318900542576,1.0,0.15228333203793876
20,703,778,3551,0.2,0.803098344378083,0.9394671948137079,0.12432611703106859,0.0,0.595412859456605,0.6443148055677212,0.04236235940347958,0.14285714285714285,0.3942466034936544,1.0,0.15425764602738032
21,718,752,3647,0.2,0.8040407870975689,0.9394671948137079,0.122571677366694,0.0,0.596901760192251,0.6443148055677212,0.04084239771090727,0.1414213562373095,0.3928528038848715,1.0,0.15256777517999182
22,711,760,3732,0.2,0.8018002304384654,0.9394671948137079,0.1308274510930137,0.0,0.5960396980570426,0.6443148055677212,0.04321254679262912,0.1414213562373095,0.3955874031860966,1.0,0.15833377322187456
23,719,742,3823,0.2,0.8084817474070257,0.9431708985174115,0.11739558584679528,0.0,0.6005650581700556,0.6443148055677212,0.041186640152401345,0.14285714285714285,0.38978984074139134,1.0,0.14647996221075885
24,708,772,3915,0.2,0.8010751333659384,0.9431708985174115,0.12619969508554635,0.0,0.5987142668005909,0.6443148055677212,0.04178514905407469,0.14002800840280097,0.40071688342681366,1.0,0.1540945449377667
25,710,765,4002,0.2,0.8045038622079754,0.9431708985174115,0.12454613831708253,0.0,0.5992894768307123,0.6443148055677212,0.04281630931048719,0.14907119849998599,0.39932745180661766,1.0,0.1475500758365553
26,725,786,4076,0.2,0.8057089617845702,0.9431708985174115,0.12112653243910579,0.0,0.6009183109139952,0.6443148055677212,0.041626139269402895,0.1414213562373095,0.3932139066747443,1.0,0.1547387090549014
27,711,788,4157,0.2,0.8138900987758914,0.9431708985174115,0.11330241284178391,0.0,0.6006768892403811,0.6449894413379649,0.04075520556081228,0.14907119849998599,0.3863290134802595,1.0,0.15020444461309732
28,715,804,4241,0.2,0.8118385904484212,0.9431708985174115,0.11904290642658083,0.0,0.6022320910542914,0.6449894413379649,0.041527091204382804,0.14285714285714285,0.38604349989621856,1.0,0.1553124799652179
29,722,798,4303,0.2,0.8145994051759897,0.9431708985174115,0.12147270953739556,0.0,0.6004212514334281,0.6449894413379649,0.0427553192796009,0.14433756729740643,0.37592739151535565,1.0,0.16217385857288866
30,725,780,4366,0.2,0.8160971255820364,0.9431708985174115,0.12866660821166245,0.0,0.5983716123097377,0.6449894413379649,0.04404502695130224,0.14744195615489714,0.3631866130271727,1.0,0.16734497419015723
31,705,746,4428,0.2,0.8214346968742602,0.9431708985174115,0.11641008294375516,0.0,0.600446565997189,0.6449894413379649,0.04217550819243061,0.15075567228888181,0.36558564866726523,1.0,0.1569610232530759
32,698,804,4486,0.2,0.8092110458678026,0.9431708985174115,0.13276579656121507,0.0,0.6019670929731779,0.6449894413379649,0.04301498272079906,0.14907119849998599,0.3801615021024336,1.0,0.16443560510067304
33,708,794,4537,0.2,0.8194999966057429,0.9431708985174115,0.12213826028013985,0.0,0.6000389461454358,0.6449894413379649,0.04231207522758336,0.14907119849998599,0.3762641648535515,1.0,0.16616966792180005
34,713,747,4569,0.2,0.8125667179335462,0.9431708985174115,0.11983716225739195,0.0,0.6007086774702962,0.6449894413379649,0.04214901291405347,0.14907119849998599,0.3880358282768049,1.0,0.15849777791648853
35,710,778,4629,0.2,0.814560518297162,0.9431708985174115,0.12289657352406486,0.0,0.6006181649949955,0.646544804027027,0.04283404998812589,0.14433756729740643,0.382401535171789,1.0,0.1589161753243404
