gen,evals,gen_feats,explored,PanKidney random forest balanced accuracy_min,PanKidney random forest balanced accuracy_avg,PanKidney random forest balanced accuracy_max,PanKidney random forest balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
92,288,444,17682,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
93,294,452,17707,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
94,310,466,17734,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
95,298,454,17757,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
96,307,456,17776,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
97,315,518,17786,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
98,301,453,17807,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
99,312,471,17828,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
100,313,468,17850,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
101,295,451,17871,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
102,277,403,17891,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
103,288,444,17907,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
104,301,462,17923,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
105,295,437,17944,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
106,319,495,17956,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
107,316,472,17983,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
108,285,423,18004,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
109,297,456,18017,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
110,317,495,18044,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
111,301,468,18061,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
112,301,459,18072,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
113,316,467,18093,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
114,306,444,18116,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
115,298,446,18127,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
116,294,452,18139,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
117,318,483,18147,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
118,310,477,18166,0.25,0.2589340137150221,0.8744362113402062,0.07060856443693518,0.2,0.9891333333333333,1.0,0.08642738763455331
