
OPTIMIZING ON FOLD NUMBER 4
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5882
Features active in total: 5882
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 61
Generations completed = 122
Generations completed = 184
Generations completed = 246
Generations completed = 307
Generations completed = 370
Generations completed = 432
Generations completed = 493
   	     	         	        	            type naive Bayes balanced accuracy           	                 root leanness                  
   	     	         	        	---------------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max     	std      	min     	avg     	max	std     
83 	561  	851      	5742    	0.2     	0.894168	0.958852	0.0942221	0.147442	0.297144	1  	0.134795
84 	553  	839      	5749    	0.2     	0.897724	0.958852	0.0922595	0.149071	0.289397	1  	0.134345
85 	542  	836      	5759    	0.2     	0.898042	0.958852	0.0923406	0.149071	0.289554	1  	0.133877
86 	542  	856      	5763    	0.2     	0.89817 	0.958852	0.0923632	0.144338	0.290219	1  	0.133589
87 	553  	838      	5765    	0.2     	0.897913	0.958852	0.0922332	0.145865	0.292014	1  	0.132432
88 	548  	839      	5767    	0.2     	0.89743 	0.958852	0.0929154	0.149071	0.293657	1  	0.132924
89 	545  	870      	5776    	0.2     	0.896407	0.958852	0.0948826	0.147442	0.296253	1  	0.133673
90 	546  	883      	5784    	0.2     	0.895943	0.958852	0.0947885	0.147442	0.298915	1  	0.132595
91 	557  	864      	5786    	0.2     	0.894208	0.958852	0.0966313	0.147442	0.301892	1  	0.133749
92 	548  	833      	5789    	0.2     	0.895768	0.958852	0.0945613	0.147442	0.300215	1  	0.13231 
93 	555  	853      	5794    	0.2     	0.896395	0.959799	0.0946306	0.149071	0.298711	1  	0.132715
94 	570  	855      	5798    	0.2     	0.893857	0.963503	0.0974541	0.147442	0.302696	1  	0.135036
95 	548  	846      	5803    	0.2     	0.894211	0.963503	0.0972698	0.147442	0.302539	1  	0.135385
96 	551  	842      	5805    	0.2     	0.891947	0.963503	0.0997016	0.147442	0.305256	1  	0.13773 
97 	539  	825      	5807    	0.2     	0.894396	0.963503	0.0971338	0.147442	0.301185	1  	0.136373
98 	539  	844      	5807    	0.2     	0.895343	0.963503	0.0963342	0.145865	0.299255	1  	0.137521
99 	541  	863      	5808    	0.2     	0.896918	0.963503	0.0946681	0.145865	0.297477	1  	0.136115
100	556  	816      	5810    	0.2     	0.897116	0.963503	0.0962876	0.145865	0.297083	1  	0.136169
101	558  	834      	5812    	0.2     	0.895651	0.963503	0.0967356	0.145865	0.300447	1  	0.136693
102	547  	817      	5813    	0.2     	0.895727	0.963503	0.0967241	0.145865	0.301852	1  	0.135609
