gen,evals,gen_feats,explored,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std,survival SKSurv Cox model adjusted concordance index_min,survival SKSurv Cox model adjusted concordance index_avg,survival SKSurv Cox model adjusted concordance index_max,survival SKSurv Cox model adjusted concordance index_std
82,500,525,3050,0.4472135954999579,0.558917661469033,1.0,0.0997215173937951,0.4978673479126651,0.7433071795709455,0.7511367719448769,0.013278694163980207
83,500,574,3050,0.4472135954999579,0.5589176614690329,1.0,0.09972151739379509,0.4978673479126651,0.7433088622633568,0.7511367719448769,0.013278813737404705
84,500,532,3051,0.4472135954999579,0.558917661469033,1.0,0.0997215173937951,0.4978673479126651,0.7433122897595442,0.7511398248302349,0.013278223650370277
85,500,564,3051,0.4472135954999579,0.558917661469033,1.0,0.0997215173937951,0.4978673479126651,0.7433134981125702,0.7511398248302349,0.013278449823256077
86,500,552,3051,0.4472135954999579,0.5589176614690329,1.0,0.09972151739379509,0.4978673479126651,0.7433175895095897,0.7511398248302349,0.013280681276188698
87,500,513,3051,0.4472135954999579,0.5589176614690329,1.0,0.09972151739379509,0.4978673479126651,0.7433231349299654,0.7511398248302349,0.013276614706133727
88,500,537,3051,0.4472135954999579,0.558917661469033,1.0,0.0997215173937951,0.4978673479126651,0.743326265815022,0.7511398248302349,0.013277304573635159
89,500,562,3053,0.4472135954999579,0.558917661469033,1.0,0.0997215173937951,0.4978673479126651,0.7433300252576159,0.7511398248302349,0.013273518051470283
90,500,576,3053,0.4472135954999579,0.5589176614690329,1.0,0.09972151739379509,0.4978673479126651,0.7433329462655295,0.7511398248302349,0.013271396332335181
91,500,574,3054,0.4472135954999579,0.558917661469033,1.0,0.0997215173937951,0.4978673479126651,0.7433350855701588,0.7511398248302349,0.01327257915781728
92,500,573,3055,0.4472135954999579,0.5589176614690329,1.0,0.09972151739379509,0.4978673479126651,0.7433468410258125,0.7511398248302349,0.013262906744844637
93,500,555,3055,0.4472135954999579,0.558917661469033,1.0,0.0997215173937951,0.4978673479126651,0.7433630347416598,0.7511398248302349,0.013249501496724492
94,500,579,3055,0.4472135954999579,0.558917661469033,1.0,0.0997215173937951,0.4978673479126651,0.7433673082152706,0.7511398248302349,0.01324828731952495
95,500,551,3055,0.4472135954999579,0.559023234278033,1.0,0.09963110393175864,0.4978673479126651,0.7433648328077386,0.7511398248302349,0.013246792114715283
96,500,560,3055,0.408248290463863,0.5585794575115813,1.0,0.0999449330685031,0.4978673479126651,0.743403934278889,0.7511398248302349,0.01323076903937033
97,500,554,3055,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7434049078389021,0.7511398248302349,0.01321070536119604
98,500,560,3055,0.4472135954999579,0.558917661469033,1.0,0.0997215173937951,0.4978673479126651,0.7434150910054996,0.7511398248302349,0.01321022520999988
99,500,602,3055,0.4472135954999579,0.558917661469033,1.0,0.09972151739379509,0.4978673479126651,0.743437569184973,0.7511398248302349,0.013191786846701503
100,500,574,3055,0.4472135954999579,0.559023234278033,1.0,0.09963110393175863,0.4978673479126651,0.7434367709724888,0.7511398248302349,0.013186895252710619
101,500,562,3055,0.408248290463863,0.5585794575115812,1.0,0.0999449330685031,0.4978673479126651,0.7434548752002916,0.7511398248302349,0.013192463023011436
102,500,591,3055,0.4472135954999579,0.558917661469033,1.0,0.0997215173937951,0.4978673479126651,0.7434424324295426,0.7511398248302349,0.013189076792010581
103,500,574,3055,0.4472135954999579,0.558917661469033,1.0,0.09972151739379509,0.4978673479126651,0.7434439596443829,0.7511398248302349,0.013189501417093637
