gen,evals,gen_feats,explored,expression_subtype svm balanced accuracy_min,expression_subtype svm balanced accuracy_avg,expression_subtype svm balanced accuracy_max,expression_subtype svm balanced accuracy_std,leanness_min,leanness_avg,leanness_max,leanness_std
13,500,985,3578,0.14285714285714285,0.780369527578982,0.927533728616697,0.13872452751150083,0.01282051282051282,0.0734092229485215,1.0,0.10028168944919402
14,500,1015,3770,0.14285714285714285,0.7831914905354768,0.927533728616697,0.13876900692052335,0.01282051282051282,0.07343227989623617,1.0,0.10027802162783009
15,500,986,3936,0.14285714285714285,0.7859623705046548,0.927533728616697,0.13819121869380116,0.01282051282051282,0.07342806656286446,1.0,0.10029689339751759
16,500,1003,4150,0.14285714285714285,0.7888488272511802,0.9301246111235459,0.1384833758400451,0.01282051282051282,0.07349449760495795,1.0,0.10031980709797786
17,500,1049,4366,0.14285714285714285,0.7910253726019119,0.9301246111235459,0.13845147270713268,0.01282051282051282,0.07365854984718133,1.0,0.10028067452961958
18,500,1050,4572,0.14285714285714285,0.7908430046569993,0.9317354092889659,0.13760881908942182,0.013513513513513514,0.07451891207801623,1.0,0.09998195216449003
19,500,1048,4783,0.14285714285714285,0.7932330077996596,0.9351157866212902,0.13703090073516888,0.013513513513513514,0.07459574323289211,1.0,0.09992542623112781
20,500,986,4958,0.14285714285714285,0.7959171604274528,0.9351157866212902,0.13777011231586653,0.013513513513513514,0.07444242139406756,1.0,0.09999986098722732
21,500,1030,5147,0.14285714285714285,0.8039164784553304,0.9365625420199927,0.1379681022181446,0.013513513513513514,0.07241248991395298,1.0,0.10039538788970521
22,500,1028,5320,0.14285714285714285,0.806561274515913,0.9394196848771355,0.13790000549227424,0.013513513513513514,0.07202375420130541,1.0,0.10035827170438787
23,500,1005,5472,0.14285714285714285,0.8098197009040329,0.9524066978641486,0.13747205132354098,0.013513513513513514,0.07174115109493144,1.0,0.10058879600269181
24,500,1008,5632,0.14285714285714285,0.8144227817825972,0.9524066978641486,0.1334532320316676,0.013513513513513514,0.06941930863521482,1.0,0.09750842627204934
25,500,1009,5792,0.14285714285714285,0.8158689966781553,0.9524066978641486,0.13336433296876432,0.013513513513513514,0.06956644992615711,1.0,0.09749708724260106
26,500,1042,5976,0.14285714285714285,0.817567501680734,0.9524066978641486,0.13352090499102362,0.012658227848101266,0.06950617972063462,1.0,0.09754946215537068
27,500,1038,6159,0.14285714285714285,0.8193970332559302,0.9524066978641486,0.1338777675440438,0.012658227848101266,0.06936194156085458,1.0,0.09760741899992097
28,500,1033,6303,0.14285714285714285,0.8213389541860935,0.9524066978641486,0.13376846188079425,0.012658227848101266,0.06927889552375004,1.0,0.09762758241471814
29,500,1060,6474,0.14285714285714285,0.823122306652199,0.9524066978641486,0.13407659813079395,0.012658227848101266,0.06909299126535257,1.0,0.09767076540284533
30,500,1055,6634,0.14285714285714285,0.8246660662770642,0.9524066978641486,0.13473310226301471,0.012658227848101266,0.06905048221067284,1.0,0.0977372083231504
31,500,1039,6816,0.14285714285714285,0.8253851129759499,0.9524066978641486,0.13459097299100403,0.012658227848101266,0.06918673064076952,1.0,0.0976916561021684
32,500,1036,6965,0.14285714285714285,0.8262287711904094,0.9524066978641486,0.13367868993538712,0.012658227848101266,0.06939306489341214,1.0,0.09760539100922555
33,500,1024,7123,0.14285714285714285,0.8282756491309219,0.9524066978641486,0.13419581878474482,0.013333333333333334,0.0691772621578921,1.0,0.09769470590754788
34,500,1053,7285,0.14285714285714285,0.8307602763239312,0.9524066978641486,0.1348663113410055,0.013333333333333334,0.06880919133967561,1.0,0.09784818646622129
35,500,1033,7439,0.14285714285714285,0.8314736306604457,0.9524066978641486,0.13480715802124,0.013513513513513514,0.06894835884241358,1.0,0.09782745709282202
36,500,1032,7592,0.14285714285714285,0.833129215335893,0.9524066978641486,0.13447383312565722,0.013513513513513514,0.06889631033585214,1.0,0.09779310559711347
37,500,1051,7761,0.14285714285714285,0.8353430174404705,0.9546742715602937,0.13476725225098687,0.013513513513513514,0.06855735188787963,1.0,0.09798845801240068
38,500,1034,7904,0.14285714285714285,0.8346463401389972,0.9546742715602937,0.1342133727533854,0.013513513513513514,0.06913693110862512,1.0,0.09775192967056871
39,500,999,8025,0.14285714285714285,0.8378043787493001,0.9546742715602937,0.1349778344883903,0.013513513513513514,0.06836376119343143,1.0,0.09803064775314528
40,500,1022,8160,0.14285714285714285,0.8388831510817663,0.9546742715602937,0.13518718688468195,0.013513513513513514,0.06828653872415945,1.0,0.09807330702436626
41,500,1034,8292,0.14285714285714285,0.8371679455442836,0.9546742715602937,0.13404346978908913,0.013157894736842105,0.06913638608905001,1.0,0.09773549841606048
42,500,1027,8423,0.14285714285714285,0.8377196130800724,0.9546742715602937,0.134028936058275,0.013513513513513514,0.06923808901723497,1.0,0.09772348000116256
43,500,1051,8566,0.14285714285714285,0.8389572096319404,0.9546742715602937,0.1341947807380143,0.013513513513513514,0.06916774656633312,1.0,0.09776008559333803
44,500,1011,8678,0.14285714285714285,0.8386766004771521,0.9586204509710251,0.1341142828555222,0.013513513513513514,0.06956469903336163,1.0,0.09765494549909456
45,500,1025,8801,0.14285714285714285,0.8405410355723103,0.9586204509710251,0.13431767352282623,0.013513513513513514,0.06926109035910795,1.0,0.09777647612729999
46,500,1025,8922,0.14285714285714285,0.839583965586366,0.9586204509710251,0.13356334542400072,0.013513513513513514,0.06981506387793912,1.0,0.09755469116884637
47,500,1032,9043,0.14285714285714285,0.8392465009849766,0.9586204509710251,0.1331475578158837,0.013513513513513514,0.07011186495196055,1.0,0.09742096512514173
48,500,1041,9170,0.14285714285714285,0.8395252205329422,0.9586204509710251,0.13296738934757232,0.013513513513513514,0.07018440406482952,1.0,0.09738157063463952
49,500,1039,9296,0.14285714285714285,0.8402954517948221,0.9586204509710251,0.1325730413635489,0.013513513513513514,0.07022170082435895,1.0,0.09735892782141889
50,500,1030,9387,0.14285714285714285,0.8415380488056545,0.9586204509710251,0.13274266873883164,0.013513513513513514,0.07001193304963702,1.0,0.09745048391273593
51,500,1061,9517,0.14285714285714285,0.8422285509080679,0.9586204509710251,0.1327182565374636,0.013513513513513514,0.06999911076253187,1.0,0.0974592388959301
52,500,1048,9640,0.14285714285714285,0.8438141790293714,0.9586204509710251,0.1332801303368717,0.013513513513513514,0.06960680234437525,1.0,0.0976164345720497
53,500,1007,9755,0.14285714285714285,0.8449476340939214,0.9586204509710251,0.13334342802373966,0.013157894736842105,0.06937669746289925,1.0,0.09768789838638343
54,500,1031,9860,0.14285714285714285,0.8467436909254,0.9586204509710251,0.1335972040922397,0.013157894736842105,0.06889668007952493,1.0,0.09782109761247079
55,500,1007,9963,0.14285714285714285,0.8477520181634491,0.9586204509710251,0.13359328981546384,0.013157894736842105,0.06872251998405798,1.0,0.09784991420290858
56,500,1044,10067,0.14285714285714285,0.8482506386925893,0.9586204509710251,0.13381461782371282,0.013157894736842105,0.06877643444380302,1.0,0.09785745549454225
57,500,1012,10169,0.14285714285714285,0.8489328782554751,0.9588759522325626,0.13371736323204028,0.013157894736842105,0.06866244539270258,1.0,0.09784828903328185
58,500,1023,10265,0.14285714285714285,0.8480101564686416,0.9588759522325626,0.13335543125553603,0.013333333333333334,0.06926047445957803,1.0,0.09768788781652397
59,500,1045,10366,0.14285714285714285,0.8475892918204743,0.9588759522325626,0.13303248868372106,0.013333333333333334,0.06961273461234779,1.0,0.0975826352412744
60,500,1020,10462,0.14285714285714285,0.8480639764843197,0.9588759522325626,0.13312785331298263,0.013333333333333334,0.06959614351143747,1.0,0.09760178775327542
61,500,1031,10553,0.14285714285714285,0.8475660394313015,0.9588759522325626,0.13254774530698174,0.013333333333333334,0.06998968941652055,1.0,0.09743974579854156
62,500,1014,10642,0.14285714285714285,0.8481786566225032,0.9588759522325626,0.1326716807827597,0.013333333333333334,0.06997023190021906,1.0,0.09745463745175051
