gen,evals,gen_feats,explored,type naive Bayes balanced accuracy_min,type naive Bayes balanced accuracy_avg,type naive Bayes balanced accuracy_max,type naive Bayes balanced accuracy_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
85,362,494,5900,0.2,0.8558451521358752,0.9533598679346561,0.18027586236563847,0.22941573387056177,0.3956735893391594,1.0,0.19212132297416248
86,368,523,5900,0.2,0.8404128124015935,0.9533598679346561,0.19251796618145292,0.22941573387056177,0.41647248821472344,1.0,0.20267699814485554
87,359,490,5900,0.2,0.8445566629147033,0.9539771518852733,0.1879861003219103,0.22360679774997896,0.4127829434158676,1.0,0.19804093974853737
88,360,498,5900,0.2,0.8434442373209898,0.9539771518852733,0.19014453456736297,0.22360679774997896,0.41386357136628077,1.0,0.19932494434561857
89,384,525,5900,0.2,0.8449160721582882,0.9539771518852733,0.18799552839514475,0.22360679774997896,0.41245485836605555,1.0,0.19767332169660198
90,376,549,5900,0.2,0.846339844155734,0.9539771518852733,0.18743502851827876,0.22360679774997896,0.4106616163045928,1.0,0.1970068309731156
91,354,496,5900,0.2,0.8342212345113744,0.9539771518852733,0.19938228925659252,0.22360679774997896,0.4227457350153902,1.0,0.20997305336196742
92,378,544,5900,0.2,0.8336800075698748,0.9539771518852733,0.19968122891692858,0.22360679774997896,0.42313601408275037,1.0,0.21048108592900266
93,373,533,5900,0.2,0.8337744975772398,0.9539771518852733,0.19969444524175395,0.22360679774997896,0.4229521305575569,1.0,0.2104339179438119
94,382,525,5900,0.2,0.835566239489262,0.9539771518852733,0.19742727673910948,0.22360679774997896,0.421394801464165,1.0,0.20861802284844183
95,360,511,5900,0.2,0.8315602948765327,0.9539771518852733,0.2051106047632644,0.22360679774997896,0.4201693270047151,1.0,0.21685008992716398
96,365,494,5900,0.2,0.8314473835295636,0.9539771518852733,0.20513824438597095,0.22360679774997896,0.42020647457485655,1.0,0.2169770630195316
97,362,466,5900,0.2,0.8230952725260888,0.9539771518852733,0.22173326568886323,0.22360679774997896,0.4173646055142798,1.0,0.23415986976359765
98,360,533,5900,0.2,0.8232461207453902,0.9539771518852733,0.2217299586726903,0.22360679774997896,0.41712857987021246,1.0,0.23414588962295585
99,378,536,5900,0.2,0.8228869439445359,0.9539771518852733,0.22166306545434725,0.22360679774997896,0.4178815831212476,1.0,0.23405697332672953
100,356,493,5900,0.2,0.8257054105055447,0.9539771518852733,0.21239016708038055,0.22360679774997896,0.4223958842058291,1.0,0.22552737191796202
101,380,534,5900,0.2,0.8257464737314278,0.9539771518852733,0.2119581979912117,0.22360679774997896,0.4231324494479334,1.0,0.2250630674013839
102,385,505,5900,0.2,0.8278953421011043,0.9539771518852733,0.20988971143040475,0.22360679774997896,0.42140786138835334,1.0,0.222898257022293
103,356,507,5900,0.2,0.8350908652762498,0.9539771518852733,0.20342928486331974,0.22360679774997896,0.4155885520355137,1.0,0.21572509956272165
104,362,510,5900,0.2,0.8327012556947764,0.9539771518852733,0.20608993409040088,0.22360679774997896,0.418923299518693,1.0,0.21881241359693712
105,372,500,5900,0.2,0.8333733504609404,0.9539771518852733,0.20585643937067585,0.22360679774997896,0.4183468437122098,1.0,0.21833604128113945
106,373,531,5900,0.2,0.8345399141311473,0.9539771518852733,0.2056876284727483,0.22360679774997896,0.4170619666124408,1.0,0.21764746883470112
107,348,512,5900,0.2,0.8384743511258363,0.9539771518852733,0.20151851888730388,0.22360679774997896,0.41414476269590894,1.0,0.21311044268004334
108,365,528,5900,0.2,0.8405454436961716,0.9539771518852733,0.19923996595430685,0.22360679774997896,0.41220495815078756,1.0,0.21118957187205487
109,373,538,5900,0.2,0.8322141074766762,0.9539771518852733,0.20527278209133917,0.22360679774997896,0.4242267747432501,1.0,0.21497376718632427
110,380,520,5900,0.2,0.8432333061533849,0.9539771518852733,0.2091534656746209,0.22360679774997896,0.4131648534178217,1.0,0.21328415025692332
111,368,525,5900,0.2,0.8432382444249898,0.9539771518852733,0.20915607305880482,0.22360679774997896,0.41311838192885714,1.0,0.21332481039835008
112,381,522,5900,0.2,0.8527314259086147,0.9545944358358905,0.20205710139709626,0.21821789023599236,0.39737394933841724,1.0,0.2102400570824242
113,364,506,5900,0.2,0.8493349420377001,0.9545944358358905,0.2034270726314195,0.21821789023599236,0.40170579596531625,1.0,0.21197228084247427
114,359,504,5900,0.2,0.8339085984261537,0.9545944358358905,0.20573640908533367,0.21821789023599236,0.42005016403124673,1.0,0.21805552913805432
115,366,502,5900,0.2,0.8254846141471867,0.9545944358358905,0.21197614564144038,0.21821789023599236,0.42908740897104697,1.0,0.22484775581614708
116,374,506,5900,0.2,0.8244576270491832,0.9545944358358905,0.21355878276799073,0.21821789023599236,0.4299907887569184,1.0,0.2259887510645685
117,362,521,5900,0.2,0.8165586716400792,0.9545944358358905,0.2164788141911179,0.21821789023599236,0.4436229580723278,1.0,0.22578955150581628
118,382,528,5900,0.2,0.8258701642125811,0.9545944358358905,0.2116064522175153,0.21821789023599236,0.4305708330784523,1.0,0.22261994094930304
119,382,522,5900,0.2,0.8327871875041953,0.9545944358358905,0.20584626020024857,0.21821789023599236,0.42313279066279424,1.0,0.21701663018877682
120,371,508,5900,0.2,0.8260347278248482,0.9545944358358905,0.21169656098448733,0.21821789023599236,0.432052777603817,1.0,0.22183542183544538
121,368,530,5900,0.2,0.8306631091317327,0.9545944358358905,0.20804537695687844,0.21821789023599236,0.4259314284549768,1.0,0.21904918770608253
122,364,525,5900,0.2,0.8335668927265847,0.9545944358358905,0.20611028833347228,0.21821789023599236,0.42182861092286433,1.0,0.21748558773225546
123,365,506,5900,0.2,0.8135546754104138,0.9545944358358905,0.21783319152782807,0.21821789023599236,0.45018033439957,1.0,0.22453576216708643
124,367,503,5900,0.2,0.8212505258283702,0.9545944358358905,0.21257469845227164,0.21821789023599236,0.44085966962978423,1.0,0.22038697536320673
125,376,512,5900,0.2,0.8373195537824996,0.9545944358358905,0.2006168998405251,0.21821789023599236,0.4249050289171221,1.0,0.20855454168472412
126,370,553,5900,0.2,0.8398353599588486,0.9545944358358905,0.19842260383117316,0.21821789023599236,0.421825455576449,1.0,0.206831043694176
127,364,549,5900,0.2,0.8427753154958444,0.9545944358358905,0.19625206370092946,0.21821789023599236,0.4169805897797187,1.0,0.20522736470773958
128,355,492,5900,0.2,0.8199538661592448,0.9558290037371251,0.20845104727245492,0.22941573387056177,0.4561038518933724,1.0,0.20563392717811899
129,353,483,5900,0.2,0.8210981361715418,0.9558290037371251,0.20892460500111878,0.22941573387056177,0.45299120438072804,1.0,0.20743304017653286
130,375,536,5900,0.2,0.8368607845631082,0.9558290037371251,0.20043081161095364,0.22941573387056177,0.4284401046548541,1.0,0.2057797061705884
131,359,505,5900,0.2,0.8395991122944045,0.9558290037371251,0.19830915708276503,0.22941573387056177,0.42491493468107694,1.0,0.2041892568746841
132,358,522,5900,0.2,0.8441043832966263,0.9558290037371251,0.19347602426148883,0.22941573387056177,0.42299352627424697,1.0,0.1985122682545439
133,365,487,5900,0.2,0.8443676532234264,0.9558290037371251,0.19355740752457892,0.22941573387056177,0.4221807562403703,1.0,0.1987765998514672
134,363,525,5900,0.2,0.8483603258249315,0.9558290037371251,0.19100946272079786,0.22941573387056177,0.41583043460287583,1.0,0.19677315613209986
135,349,472,5900,0.2,0.8495962608728627,0.9558290037371251,0.18877654818572787,0.22941573387056177,0.41491832393372996,1.0,0.19509264450244865
136,371,496,5900,0.2,0.8492254482983916,0.9558290037371251,0.18915914689273133,0.22941573387056177,0.41491752752608385,1.0,0.1956305820573554
137,389,535,5900,0.2,0.8496725605466326,0.9558290037371251,0.18880110236718234,0.22941573387056177,0.41470207035294,1.0,0.1951412533512073
138,380,512,5900,0.2,0.8498532880789547,0.9558290037371251,0.18884293590960327,0.22941573387056177,0.4143198105446385,1.0,0.19519299989509464
139,358,484,5900,0.2,0.8453307694681091,0.9558290037371251,0.19397619994358442,0.22941573387056177,0.41815416216208656,1.0,0.2008288519199785
140,360,474,5900,0.2,0.8367311151763269,0.9558290037371251,0.1997589797399205,0.22941573387056177,0.43053053172785194,1.0,0.2039716769633032
141,355,470,5900,0.2,0.8369356990251726,0.9558290037371251,0.19974252036932688,0.22941573387056177,0.43038895350270256,1.0,0.20381692685089925
142,348,504,5900,0.2,0.8382913072212694,0.9558290037371251,0.1977801919803685,0.22941573387056177,0.4290508080017532,1.0,0.20246307558088802
143,391,558,5900,0.2,0.8316309496942492,0.9558290037371251,0.20459208548664715,0.22941573387056177,0.43333460157998355,1.0,0.21003649413309766
144,381,527,5900,0.2,0.8211532409026663,0.9558290037371251,0.20978890818038132,0.22941573387056177,0.4483385438001241,1.0,0.21279612248194302
145,356,523,5900,0.2,0.8213983781531626,0.9558290037371251,0.20980468785749717,0.22941573387056177,0.4479349928694908,1.0,0.2127419362180227
146,350,499,5900,0.2,0.8116089423208049,0.9558290037371251,0.2167101177960889,0.22941573387056177,0.46056461999466397,1.0,0.21761273251504
147,359,503,5900,0.2,0.8214966461969152,0.9558290037371251,0.20929915117741185,0.22941573387056177,0.45255649964370626,1.0,0.20955461879580334
148,374,542,5900,0.2,0.8263900403860118,0.9558290037371251,0.20790093723263264,0.22941573387056177,0.44459742815554704,1.0,0.20991742236484837
149,373,544,5900,0.2,0.83073162467082,0.9558290037371251,0.20431076244536683,0.22941573387056177,0.4390115700356347,1.0,0.20790524567840216
150,373,539,5900,0.2,0.8304894755188509,0.957680855588977,0.20462363833994973,0.22360679774997896,0.4389820608480348,1.0,0.20839071604933018
151,351,479,5900,0.2,0.8312073101578346,0.957680855588977,0.20443440932892554,0.22360679774997896,0.43806640572109345,1.0,0.20823080341497424
152,384,515,5900,0.2,0.8359324875281957,0.957680855588977,0.2001190290722827,0.22360679774997896,0.4336943955078774,1.0,0.20400752194390137
153,353,509,5900,0.2,0.848792361916323,0.957680855588977,0.19203816716370012,0.22360679774997896,0.4142141097089342,1.0,0.20027647312213168
154,357,508,5900,0.2,0.8517286023736057,0.9620286816759336,0.1897714452738131,0.21821789023599236,0.41011347092267864,1.0,0.19869126432888218
155,374,523,5900,0.2,0.8517767327864842,0.9620286816759336,0.18979406127315754,0.21821789023599236,0.40991028122875944,1.0,0.19880141699188258
156,390,547,5900,0.2,0.855632152748484,0.9620286816759336,0.187813659771709,0.21821789023599236,0.40285098964561045,1.0,0.19879248075032893
157,361,507,5900,0.2,0.8538657353177053,0.9620286816759336,0.19089185661939828,0.21821789023599236,0.40185683242387316,1.0,0.2037824261486281
158,363,513,5900,0.2,0.85414918065645,0.9620286816759336,0.19087575754333805,0.21821789023599236,0.4015269243540539,1.0,0.20356098652811414
159,375,526,5900,0.2,0.8592131957943152,0.9626459656265508,0.1856694724303716,0.21320071635561044,0.39501842002682314,1.0,0.19874256660058529
160,352,506,5900,0.2,0.8542158128889011,0.9626459656265508,0.190908089023511,0.21320071635561044,0.40157826743146463,1.0,0.20356403301355194
161,361,503,5900,0.2,0.8582385520247531,0.9626459656265508,0.18818897259904907,0.21320071635561044,0.39554892427209076,1.0,0.20116007067871283
162,377,543,5900,0.2,0.8629859949074105,0.9626459656265508,0.18342163393112101,0.21320071635561044,0.38868940914157957,1.0,0.19744470126111063
163,387,506,5900,0.2,0.8541743171155717,0.9626459656265508,0.1908949786365718,0.21320071635561044,0.4014126774638103,1.0,0.20379945987237408
164,378,511,5900,0.2,0.8604072901850475,0.963263249577168,0.18642632001566378,0.20851441405707477,0.3911422208120318,1.0,0.20221428065783328
165,366,489,5900,0.2,0.8504093873041378,0.963263249577168,0.19657762347922947,0.20851441405707477,0.4038520062629467,1.0,0.21178001121635381
166,379,546,5900,0.2,0.8506926351054235,0.963263249577168,0.19664266931707658,0.20851441405707477,0.4030826966324775,1.0,0.21180966042452107
167,389,526,5900,0.2,0.8587207350032751,0.963263249577168,0.18927997782451242,0.20851441405707477,0.3933018373653931,1.0,0.20486338649465322
168,353,521,5900,0.2,0.8611920245222489,0.963263249577168,0.18654675686675923,0.20851441405707477,0.39059745239518157,1.0,0.20168057718646362
169,361,526,5900,0.2,0.8677588183505633,0.963263249577168,0.17853174806405694,0.20851441405707477,0.3848933320084618,1.0,0.19350363763839926
170,355,544,5900,0.2,0.8688360166348822,0.963263249577168,0.17823737004485687,0.20851441405707477,0.3830264473101464,1.0,0.1930911242624584
171,363,509,5900,0.2,0.8691062235016112,0.963263249577168,0.1782052669876883,0.20851441405707477,0.38264108611892583,1.0,0.1929486549534881
172,363,519,5900,0.2,0.8685220903971169,0.963263249577168,0.17861688004528578,0.20851441405707477,0.383146987538282,1.0,0.19349399381554883
173,393,572,5900,0.2,0.8588108040766155,0.9638805335277854,0.18562287114249465,0.20851441405707477,0.3994164597072297,1.0,0.19727347674326187
174,371,515,5900,0.2,0.8588938720757119,0.9638805335277854,0.18564585439220216,0.20851441405707477,0.399284950653716,1.0,0.19723730235368703
175,351,494,5900,0.2,0.8602057132298753,0.9638805335277854,0.18544617969950344,0.20851441405707477,0.3968017991743117,1.0,0.19739687986176482
