gen,evals,gen_feats,explored,type naive Bayes adjusted balanced accuracy_min,type naive Bayes adjusted balanced accuracy_avg,type naive Bayes adjusted balanced accuracy_max,type naive Bayes adjusted balanced accuracy_std,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std
18,500,808,3316,0.2,0.8225678120614446,0.8629883760411038,0.07821913288805613,0.1386750490563073,0.3024798189382182,1.0,0.1414530474382315
19,500,812,3427,0.2,0.8240729248792882,0.8648727755399291,0.07774535223259095,0.1386750490563073,0.29987500958680446,1.0,0.14081902541430155
20,500,836,3520,0.2,0.8247606534245827,0.8648727755399291,0.07762916013721881,0.1386750490563073,0.29912784779386165,1.0,0.14085308943680758
21,500,837,3610,0.2,0.8271100123907301,0.8648727755399291,0.07567966570097763,0.1386750490563073,0.29529394783723856,1.0,0.1393902337246291
22,500,834,3703,0.2,0.8276218009097367,0.8648727755399291,0.07561638740541335,0.1386750490563073,0.29693553515496157,1.0,0.13833834392957703
23,500,817,3784,0.2,0.8282459727800677,0.8648727755399291,0.0750877750050864,0.1386750490563073,0.29756571938245463,1.0,0.137996239539478
24,500,868,3878,0.2,0.828728800283573,0.8673362021280604,0.07403094960757481,0.1386750490563073,0.29771918623303234,1.0,0.13793772794674392
25,500,851,3959,0.2,0.8292361209783577,0.8673362021280604,0.07382871519279577,0.1386750490563073,0.29701054821865236,1.0,0.1383115341512276
26,500,863,4045,0.2,0.8293235453208436,0.8673362021280604,0.0738501960379181,0.1386750490563073,0.29694207051484095,1.0,0.13848359523009215
27,500,854,4118,0.2,0.8298876587505115,0.8673362021280604,0.07386694862942783,0.1386750490563073,0.29480215190048453,1.0,0.13902963743928037
28,500,844,4187,0.2,0.8312065964483996,0.8673362021280604,0.07288270158456979,0.14002800840280097,0.2925395364811603,1.0,0.13859235123817337
29,500,830,4247,0.2,0.8308152950260346,0.8673362021280604,0.07293163643524407,0.14002800840280097,0.29508830775725176,1.0,0.1396267277192447
30,500,866,4319,0.2,0.831270238836028,0.8686226670361245,0.07273202762717244,0.14002800840280097,0.29486209003889796,1.0,0.13974683640126537
31,500,849,4388,0.2,0.8314902475815871,0.8686226670361245,0.07270384491065447,0.14002800840280097,0.29503434829549346,1.0,0.1399140490915227
32,500,870,4458,0.2,0.8319390254411286,0.8686226670361245,0.07263523253411147,0.14002800840280097,0.29582713443099523,1.0,0.13947146008798153
33,500,864,4531,0.2,0.832563802543994,0.8686226670361245,0.07248163130915693,0.14002800840280097,0.293546719652255,1.0,0.1406757079487042
34,500,851,4578,0.2,0.8346860750699826,0.8686226670361245,0.07062916309425284,0.14002800840280097,0.28719577679559644,1.0,0.1399169758747478
35,500,873,4642,0.2,0.8351419877659341,0.8686226670361245,0.07064870473891564,0.14002800840280097,0.28561944587555527,1.0,0.1402774745476408
36,500,857,4687,0.2,0.8371357767381634,0.8686226670361245,0.06793459213824043,0.14002800840280097,0.28248754505300144,1.0,0.13790090964628637
