gen,evals,gen_feats,explored,Pam50 naive Bayes adjusted balanced accuracy_min,Pam50 naive Bayes adjusted balanced accuracy_avg,Pam50 naive Bayes adjusted balanced accuracy_max,Pam50 naive Bayes adjusted balanced accuracy_std,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std
305,500,1376,17574,0.2,0.8297144950785375,0.880262249765677,0.0971089088690128,0.12803687993289598,0.2307764874511983,1.0,0.11988589586226263
306,500,1373,17577,0.2,0.8297179185460248,0.880262249765677,0.09711092627827285,0.12803687993289598,0.23093044927434034,1.0,0.11978057800309697
307,500,1326,17581,0.2,0.8248483515197902,0.8803804344489421,0.10339009928817784,0.12803687993289598,0.23736458283344614,1.0,0.12308249930458026
308,500,1339,17582,0.2,0.824888064574883,0.8803804344489421,0.10263748192587294,0.12803687993289598,0.2376351663026651,1.0,0.12325752571023879
309,500,1327,17585,0.2,0.8247878549121851,0.8803804344489421,0.10254385954592077,0.12803687993289598,0.2379993261347777,1.0,0.12326290079980518
310,500,1378,17593,0.2,0.8257013553634358,0.8803804344489421,0.10237141181242072,0.12803687993289598,0.23632781535216685,1.0,0.12352879803242679
311,500,1399,17593,0.2,0.8255743988782517,0.8803804344489421,0.10198691838701049,0.12803687993289598,0.23683059461371708,1.0,0.12307344134962767
312,500,1414,17594,0.2,0.8250633006799116,0.8803804344489421,0.10213666491023429,0.12803687993289598,0.23799120162598764,1.0,0.12315515938796706
313,500,1406,17595,0.2,0.825254560163678,0.8803804344489421,0.1021775312680675,0.12803687993289598,0.23751868735996823,1.0,0.12336830387400245
314,500,1367,17596,0.2,0.8250708677910754,0.8803804344489421,0.1019694549036672,0.12803687993289598,0.23836948967059043,1.0,0.12294237464071613
315,500,1365,17599,0.2,0.8248189190228565,0.8803804344489421,0.10191372340172021,0.12803687993289598,0.239052987407113,1.0,0.1228147515651332
316,500,1414,17600,0.2,0.8249379866804327,0.8803804344489421,0.10190262158356274,0.12803687993289598,0.23881213155070108,1.0,0.12296827796188033
317,500,1377,17602,0.2,0.8247615053982943,0.8804509146437132,0.10181847598263558,0.12803687993289598,0.23953639115805567,1.0,0.12253848963276372
318,500,1272,17605,0.2,0.8249359616975891,0.8804509146437132,0.1012712041957221,0.12803687993289598,0.23964396220704764,1.0,0.12245255371868384
319,500,1365,17608,0.2,0.8249887398988762,0.8804509146437132,0.10129572821807961,0.12803687993289598,0.23960343838491752,1.0,0.12248927820986436
320,500,1355,17610,0.2,0.8250272155535137,0.8804509146437132,0.10130493487579738,0.12803687993289598,0.2395522935667295,1.0,0.12252215926848506
321,500,1342,17613,0.2,0.825059876700802,0.8804509146437132,0.10132060158476117,0.12803687993289598,0.2394399314953322,1.0,0.12259369483535698
322,500,1361,17614,0.2,0.8252023108942743,0.8804509146437132,0.10138634174644551,0.12803687993289598,0.23902736186473766,1.0,0.12285084407383116
323,500,1349,17615,0.2,0.8253530529593581,0.8804509146437132,0.10144646193105716,0.12803687993289598,0.2386082564939963,1.0,0.12304735809256279
324,500,1396,17615,0.2,0.8255709647434455,0.8804509146437132,0.10149210938171224,0.12803687993289598,0.23807105578614324,1.0,0.12328951798632692
325,500,1383,17620,0.2,0.8277214533850958,0.8804509146437132,0.1000976017110888,0.12803687993289598,0.23485192868528132,1.0,0.12198238268196836
326,500,1388,17621,0.2,0.8266601122686275,0.8808973432151419,0.10198702283979531,0.12803687993289598,0.23563857466838203,1.0,0.1235822982133943
327,500,1349,17624,0.2,0.8300935623626294,0.8808973432151419,0.09731692301183514,0.12803687993289598,0.23145437804762528,1.0,0.1198235203240814
328,500,1370,17626,0.2,0.8302947915430248,0.8808973432151419,0.09726343854242607,0.12909944487358055,0.23130535469407795,1.0,0.1195802027631351
329,500,1336,17630,0.2,0.8303158442087117,0.8808973432151419,0.09727186314999323,0.12909944487358055,0.2313554546005543,1.0,0.11954482478248889
330,500,1395,17632,0.2,0.8303785946306294,0.8808973432151419,0.09729338269421436,0.12909944487358055,0.23117184379950179,1.0,0.11967452992395419
331,500,1360,17634,0.2,0.8303767646866212,0.8808973432151419,0.09727772577342918,0.13018891098082386,0.2313678136979447,1.0,0.11953264749662165
332,500,1382,17635,0.2,0.8304668393902557,0.8808973432151419,0.09731110551838314,0.13018891098082386,0.23116888938884086,1.0,0.1196264972616503
333,500,1357,17639,0.2,0.8304721411329767,0.8808973432151419,0.0973128094745236,0.13018891098082386,0.2313172916116245,1.0,0.1195241049023488
334,500,1397,17640,0.2,0.8305563201092688,0.8808973432151419,0.09734987330930246,0.13018891098082386,0.23106801570861166,1.0,0.11967323487125514
335,500,1398,17643,0.2,0.8307135687357343,0.8808973432151419,0.09723936023618439,0.13018891098082386,0.2308182082394941,1.0,0.11979618358793902
336,500,1394,17643,0.2,0.830749609154896,0.8808973432151419,0.09725151802911801,0.13018891098082386,0.2307956075960269,1.0,0.11981002498418176
337,500,1393,17644,0.2,0.8308545461793433,0.8808973432151419,0.0972945670868726,0.13018891098082386,0.23048396443702693,1.0,0.11998663136789478
338,500,1384,17646,0.2,0.8308100711512723,0.8808973432151419,0.09726417842504015,0.13018891098082386,0.23080781611228132,1.0,0.11977500126233839
339,500,1358,17649,0.2,0.8307996943229058,0.8808973432151419,0.09725383015016083,0.13018891098082386,0.23094289311382454,1.0,0.11969669903459422
