gen,evals,gen_feats,explored,survival SKSurv Cox model concordance index_min,survival SKSurv Cox model concordance index_avg,survival SKSurv Cox model concordance index_max,survival SKSurv Cox model concordance index_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
30,398,157,194,0.5,0.8571020777954989,0.8988582567529936,0.043165489850005234,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
31,404,153,194,0.5,0.8571020777954989,0.8988582567529936,0.04316548985000523,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
32,392,157,194,0.5,0.8571020777954989,0.8988582567529936,0.043165489850005234,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
33,387,154,194,0.5,0.8571020777954989,0.8988582567529936,0.04316548985000523,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
34,404,153,194,0.5,0.8571020777954989,0.8988582567529936,0.04316548985000523,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
35,414,161,194,0.5,0.8571020777954989,0.8988582567529936,0.04316548985000523,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
36,399,147,194,0.5,0.8571020777954989,0.8988582567529936,0.04316548985000523,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
37,408,156,194,0.5,0.8571020777954989,0.8988582567529936,0.04316548985000523,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
38,400,156,194,0.5,0.8571394236854762,0.8988582567529936,0.043159921415512705,0.21320071635561044,0.3719301584542567,1.0,0.13186298447128886
39,405,151,194,0.5,0.8570999305924745,0.8988582567529936,0.04316630012806711,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
40,409,143,194,0.5,0.8571003917622338,0.8988582567529936,0.04316612160606139,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
41,406,152,194,0.5,0.8571003917622338,0.8988582567529936,0.04316612160606138,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
42,404,149,194,0.5,0.8571213169708783,0.8988582567529936,0.043164384732012936,0.21320071635561044,0.3720080890643289,1.0,0.13189593541446556
43,407,149,194,0.5,0.8571213169708785,0.8988582567529936,0.04316438473201293,0.21320071635561044,0.3720080890643289,1.0,0.13189593541446556
44,400,153,194,0.5,0.857100292608626,0.8988582567529936,0.043166141885246076,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
45,396,151,194,0.5,0.8571020777954989,0.8988582567529936,0.04316548985000523,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
46,425,156,194,0.5,0.8571020777954989,0.8988582567529936,0.04316548985000523,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
47,401,142,194,0.5,0.8571020777954989,0.8988582567529936,0.043165489850005234,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
48,401,140,194,0.5,0.8571020777954989,0.8988582567529936,0.043165489850005234,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
49,395,140,194,0.5,0.8571020777954989,0.8988582567529936,0.043165489850005234,0.21320071635561044,0.3721174788640701,1.0,0.1319032651807082
